Pair,OOS_PnL,Sharpe,MaxDD,MaxDD_pct,WinRate,N_Trades,Turnover,N_Days
L/AVB,13628.124074184452,2.778237378798759,-2348.539999999999,-0.0046970799999999984,0.6666666666666666,9,17764.0,156
ETR/AVB,6260.233327570013,0.9903719210285593,-4604.040090927892,-0.009208080181855784,0.5737704918032787,9,19190.0,156
ALL/SPG,0.0,0.0,0.0,0.0,,0,0.0,0
ALL/DGX,0.0,0.0,0.0,0.0,,0,0.0,0
NWS/AFL,-492.50210196208855,-0.07166741556445523,-7304.941747165702,-0.014609883494331403,0.4864864864864865,9,33864.0,156
RSG/AFL,-952.9318859249563,-0.6163960863990099,-2181.817789836259,-0.004363635579672519,0.4444444444444444,5,6532.0,156
RJF/BLK,-2179.6984139038386,-3.010088775170498,-2179.6984139038386,-0.004359396827807677,0.2,2,1594.0,26
AWK/AXP,-2341.496498526285,-0.589708563549285,-7523.503883216367,-0.015047007766432734,0.5,3,4848.0,156
HLT/AIG,-4846.587630359227,-1.2406992746215448,-8417.887630359226,-0.01683577526071845,0.2727272727272727,3,5264.0,156
AWK/PLD,-5282.760223303539,-1.015779960426339,-9060.21161223514,-0.01812042322447028,0.509090909090909,11,17004.0,130
ACGL/MCD,-6548.105568029578,-2.6286791809386494,-7570.24999999999,-0.01514049999999998,0.2777777777777778,5,11281.0,78
AWK/BK,-8619.86661813744,-1.2225035453948074,-9777.320000000002,-0.01955464,0.5,4,8124.0,156
BK/AIG,-10957.78034640966,-2.0327255075579247,-15217.941503563672,-0.030435883007127344,0.4807692307692308,15,29833.0,156
AIG/AVB,-12659.427905405417,-2.1824521282821268,-12659.427905405417,-0.025318855810810833,0.3333333333333333,2,4298.0,156
ALL/CFG,-17006.828076386046,-1.3663045919029957,-26801.653958605253,-0.053603307917210505,0.4444444444444444,11,34277.0,156
