Date,OOS_Equity,OOS_DailyPnL,Window,n_pairs,OOS_Equity_Chained
2025-09-11,499931.5068493149,-68.49315068509895,1,13,499931.5068493149
2025-09-12,499888.8036986298,-42.70315068511991,1,13,499888.8036986298
2025-09-15,500414.250547945,525.4468493151944,1,13,500414.250547945
2025-09-16,501179.91739726,765.6668493150501,1,13,501179.91739726
2025-09-17,502155.154246575,975.2368493149988,1,13,502155.154246575
2025-09-18,502737.6559270989,582.5016805238556,1,13,502737.6559270989
2025-09-19,500819.677100288,-1917.9788268108969,1,13,500819.677100288
2025-09-22,501613.6539496031,793.9768493151059,1,13,501613.6539496031
2025-09-23,500562.1307989178,-1051.5231506853015,1,13,500562.1307989178
2025-09-24,501392.1076482331,829.9768493153388,1,13,501392.1076482331
2025-09-25,501171.3824509957,-220.72519723745063,1,13,501171.3824509957
2025-09-26,502634.7413556464,1463.358904650726,1,13,502634.7413556464
2025-09-29,499992.8980148516,-2641.8433407947887,1,13,499992.8980148516
2025-09-30,498807.9295618682,-1184.9684529834194,1,13,498807.9295618682
2025-10-01,498277.9947686715,-529.9347931966768,1,13,498277.9947686715
2025-10-02,498948.0376566338,670.0428879623068,1,13,498948.0376566338
2025-10-03,498830.5045059485,-117.53315068531083,1,13,498830.5045059485
2025-10-06,497945.8513552634,-884.6531506851315,1,13,497945.8513552634
2025-10-07,493368.5782045787,-4577.273150684661,1,13,493368.5782045787
2025-10-08,491784.4550538938,-1584.123150684929,1,13,491784.4550538938
2025-10-09,491545.9219032087,-238.533150685078,1,13,491545.9219032087
2025-10-10,491477.4287525237,-68.49315068504075,1,13,491477.4287525237
2025-10-13,491408.9356018387,-68.49315068498254,1,13,491408.9356018387
2025-10-14,491340.4424511538,-68.49315068486612,1,13,491340.4424511538
2025-10-15,491244.0593004688,-96.38315068499651,1,13,491244.0593004688
2025-10-16,491130.7561497838,-113.30315068503842,1,13,491130.7561497838
2025-10-20,499931.506849315,-68.49315068498254,2,15,491130.7561497838
2025-10-21,499397.14369863,-534.3631506850361,2,15,490596.39299909875
2025-10-22,498924.130547945,-473.01315068500116,2,15,490123.37984841375
2025-10-23,497965.2953518054,-958.835196139582,2,15,489164.54465227417
2025-10-24,498800.6735647569,835.378212951473,2,15,489999.92286522564
2025-10-27,498860.7004140718,60.02684931491967,2,15,490059.94971454056
2025-10-28,500306.8505588415,1446.1501447696937,2,15,491506.09985931026
2025-10-29,500092.8211437446,-214.029415096913,2,15,491292.07044421334
2025-10-30,503698.5598349981,3605.7386912535294,2,15,494897.8091354669
2025-10-31,503585.743542115,-112.81629288312979,2,15,494784.99284258374
2025-11-03,504280.5770229688,694.8334808538202,2,15,495479.82632343756
2025-11-04,499160.2262413815,-5120.350781587302,2,15,490359.47554185026
2025-11-05,498029.1903282108,-1131.0359131706646,2,15,489228.4396286796
2025-11-06,495555.7358327003,-2473.454495510552,2,15,486754.98513316904
2025-11-07,499274.510542103,3718.7747094027,2,15,490473.75984257174
2025-11-10,502409.6231738265,3135.1126317235176,2,15,493608.87247429526
2025-11-11,502676.8419398383,267.2187660118216,2,15,493876.0912403071
2025-11-12,503177.6822259012,500.84028606291395,2,15,494376.93152637
2025-11-13,502422.454473585,-755.2277523162193,2,15,493621.7037740538
2025-11-14,500132.2619703278,-2290.192503257189,2,15,491331.5112707966
2025-11-17,498550.2510605464,-1582.010909781442,2,15,489749.50036101515
2025-11-18,500259.3995234125,1709.148462866142,2,15,491458.6488238813
2025-11-19,502045.3128369679,1785.9133135553566,2,15,493244.56213743665
2025-11-20,501381.8796862831,-663.433150684752,2,15,492581.1289867519
2025-11-21,499631.2765355982,-1750.6031506849104,2,15,490830.525836067
2025-11-24,500540.0233849132,908.7468493150081,2,15,491739.272685382
2025-11-26,499931.5068493149,-68.49315068509895,3,14,491739.272685382
2025-11-28,499287.6639872447,-643.8428620701889,3,14,491095.4298233118
2025-12-01,498163.6631800786,-1124.0008071660995,3,14,489971.4290161457
2025-12-02,495981.1259243786,-2182.5372557000373,3,14,487788.89176044567
2025-12-03,495671.5315171495,-309.5944072291022,3,14,487479.29735321656
2025-12-04,498246.4119516112,2574.880434461753,3,14,490054.1777876783
2025-12-05,498114.082939071,-132.32901254022727,3,14,489921.8487751381
2025-12-08,498338.0981275802,224.01518850919092,3,14,490145.8639636473
2025-12-09,499810.3926411612,1472.2945135810296,3,14,491618.1584772283
2025-12-10,496700.0050819698,-3110.3875591914402,3,14,488507.77091803687
2025-12-11,493790.9481615261,-2909.0569204436615,3,14,485598.7139975932
2025-12-12,494464.2929008821,673.3447393559618,3,14,486272.05873694917
2025-12-15,492177.6797501971,-2286.613150684978,3,14,483985.4455862642
2025-12-16,492359.2365995122,181.55684931512224,3,14,484167.0024355793
2025-12-17,491291.8934488272,-1067.3431506850175,3,14,483099.6592848943
2025-12-18,490326.3002981422,-965.5931506850175,3,14,482134.0661342093
2025-12-19,491423.8771474572,1097.5768493150244,3,14,483231.6429835243
2025-12-22,493586.3066222465,2162.4294747893,3,14,485394.0724583136
2025-12-23,494048.4284307898,462.12180854327744,3,14,485856.1942668569
2025-12-24,493458.1352801049,-590.2931506849127,3,14,485265.90111617197
2025-12-26,493368.9121294201,-89.22315068478929,3,14,485176.6779654872
2025-12-29,492892.678978735,-476.23315068508964,3,14,484700.4448148021
2025-12-30,492607.147164073,-285.53181466198293,3,14,484414.9130001401
2025-12-31,492282.2250370416,-324.92212703143014,3,14,484089.9908731087
2026-01-02,492062.7418863566,-219.48315068497322,3,14,483870.5077224237
2026-01-05,494808.4587356716,2745.71684931498,3,14,486616.2245717387
2026-01-07,499931.5068493149,-68.49315068509895,4,14,486616.2245717387
2026-01-08,500621.4287013025,689.9218519876013,4,14,487306.1464237263
2026-01-09,500565.8827817506,-55.54591955192154,4,14,487250.60050417436
2026-01-12,495920.4475570229,-4645.435224727669,4,14,482605.1652794467
2026-01-13,494984.1197476209,-936.3278094020206,4,14,481668.8374700447
2026-01-14,493009.8856085261,-1974.2341390947695,4,14,479694.6033309499
2026-01-15,494370.3443447576,1360.4587362314924,4,14,481055.0620671814
2026-01-16,494659.6824754882,289.33813073061174,4,14,481344.400197912
2026-01-20,496453.5696422375,1793.8871667492785,4,14,483138.2873646613
2026-01-21,499838.6282471442,3385.0586049067206,4,14,486523.345969568
2026-01-22,500727.1602111401,888.5319639958907,4,14,487411.8779335639
2026-01-23,501875.1048461401,1147.9446349999635,4,14,488559.82256856386
2026-01-26,498125.4079553175,-3749.6968908225535,4,14,484810.1256777413
2026-01-27,498785.9944992235,660.5865439059562,4,14,485470.71222164726
2026-01-28,497414.6148589086,-1371.3796403149026,4,14,484099.33258133236
2026-01-29,497128.7302584469,-285.8846004616935,4,14,483813.44798087067
2026-01-30,494796.6839853839,-2332.046273062995,4,14,481481.4017078077
2026-02-02,495832.6135056012,1035.9295202172943,4,14,482517.33122802497
2026-02-03,494524.6858082364,-1307.9276973647648,4,14,481209.4035306602
2026-02-04,493739.2856460921,-785.4001621443313,4,14,480424.00336851587
2026-02-05,495585.9050040053,1846.6193579132087,4,14,482270.6227264291
2026-02-06,495688.0320032942,102.1269992889138,4,14,482372.749725718
2026-02-09,497802.1201654396,2114.0881621454027,4,14,484486.8378878634
2026-02-10,497897.9607290404,95.84056360076647,4,14,484582.67845146416
2026-02-11,498778.5405783553,880.5798493149341,4,14,485463.2583007791
2026-02-12,492096.8833205275,-6681.657257827814,4,14,478781.6010429513
2026-02-17,499931.506849315,-68.49315068498254,5,15,478781.6010429513
2026-02-18,499863.0136986299,-68.49315068509895,5,15,478713.1078922662
2026-02-19,499954.9701510714,91.95645244145999,5,15,478805.06434470764
2026-02-20,499243.4685290358,-711.5016220355756,5,15,478093.56272267207
2026-02-23,501016.8727327149,1773.4042036791216,5,15,479866.9669263512
2026-02-24,501590.3001315076,573.4273987927008,5,15,480440.3943251439
2026-02-25,501091.7408189713,-498.559312536323,5,15,479941.83501260757
2026-02-26,500171.2135566449,-920.5272623263882,5,15,479021.3077502812
2026-02-27,500897.9844274219,726.7708707769634,5,15,479748.07862105814
2026-03-02,499229.212487504,-1668.771939917875,5,15,478079.30668114027
2026-03-03,499965.398748441,736.1862609370146,5,15,478815.4929420773
2026-03-04,499896.905597756,-68.49315068504075,5,15,478746.99979139224
2026-03-05,499960.7293668264,63.8237690704409,5,15,478810.8235604627
2026-03-06,498292.4928351295,-1668.2365316969226,5,15,477142.58702876576
2026-03-09,498234.2341068988,-58.25872823072132,5,15,477084.32830053504
2026-03-10,497834.8209562137,-399.41315068508266,5,15,476684.91514984996
2026-03-11,497974.2878055287,139.4668493149802,5,15,476824.38199916494
2026-03-12,498113.6946548438,139.40684931515716,5,15,476963.7888484801
2026-03-13,497847.2415041589,-266.4531506849453,5,15,476697.33569779515
2026-03-16,496406.558353474,-1440.6831506848685,5,15,475256.6525471103
2026-03-17,496090.0852027891,-316.4731506849057,5,15,474940.1793964254
2026-03-18,496619.6420521042,529.556849315064,5,15,475469.73624574044
2026-03-19,495748.8789014192,-870.7631506850012,5,15,474598.97309505544
2026-03-20,494852.7757507341,-896.103150685085,5,15,473702.86994437035
2026-03-23,494127.8426000491,-724.9331506849849,5,15,472977.93679368537
2026-03-24,493066.0794493641,-1061.7631506850012,5,15,471916.17364300037
2026-03-26,499931.506849315,-68.49315068498254,6,15,471916.17364300037
2026-03-27,497781.69369863,-2149.8131506849895,6,15,469766.3604923154
2026-03-30,496988.2105479452,-793.4831506848568,6,15,468972.8773416305
2026-03-31,498142.8173972602,1154.6068493150524,6,15,470127.4841909456
2026-04-01,498833.8442465753,691.0268493150943,6,15,470818.51104026067
2026-04-02,498834.2810958903,0.43684931501047686,6,15,470818.9478895757
2026-04-06,497869.5379452053,-964.7431506850407,6,15,469854.20473889064
2026-04-07,496925.1847945203,-944.3531506849686,6,15,468909.85158820567
2026-04-08,496815.6516438354,-109.53315068490338,6,15,468800.31843752076
2026-04-09,496875.3784931503,59.72684931487311,6,15,468860.04528683564
2026-04-10,497234.4153424653,359.0368493149872,6,15,469219.0821361506
2026-04-13,496257.5321917804,-976.8831506848801,6,15,468242.19898546574
2026-04-14,495892.3690410955,-365.16315068490803,6,15,467877.03583478084
2026-04-15,495823.8758904104,-68.49315068509895,6,15,467808.54268409574
2026-04-16,495602.0227397254,-221.85315068496857,6,15,467586.68953341077
2026-04-17,495943.4395890405,341.41684931510827,6,15,467928.1063827259
2026-04-20,495599.7864383555,-343.65315068501513,6,15,467584.45323204086
2026-04-21,495531.2932876705,-68.49315068504075,6,15,467515.9600813558
2026-04-22,495462.8001369855,-68.49315068498254,6,15,467447.46693067084
2026-04-23,498436.0069863006,2973.2068493150873,6,15,470420.6737799859
2026-04-24,498646.9938356155,210.98684931494063,6,15,470631.66062930087
2026-04-27,499037.8406849306,390.8468493151013,6,15,471022.50747861597
2026-04-28,498262.0575342458,-775.7831506848452,6,15,470246.7243279311
2026-04-29,497586.5443835605,-675.5131506852922,6,15,469571.21117724583
2026-04-30,499067.1212328756,1480.5768493151409,6,15,471051.788026561
2026-05-01,498986.7180821907,-80.40315068489872,6,15,470971.3848758761
