Date,OOS_Equity,OOS_DailyPnL,Window,n_pairs,OOS_Equity_Chained
2025-10-06,499931.506849315,-68.49315068498254,1,15,499931.506849315
2025-10-07,486902.7869869755,-13028.719862339494,1,15,486902.7869869755
2025-10-08,485391.4705718242,-1511.3164151513483,1,15,485391.4705718242
2025-10-09,486737.5778481753,1346.107276351133,1,15,486737.5778481753
2025-10-10,476612.4322020626,-10125.14564611268,1,15,476612.4322020626
2025-10-13,484979.6246795534,8367.192477490753,1,15,484979.6246795534
2025-10-14,482921.6951947993,-2057.9294847541023,1,15,482921.6951947993
2025-10-15,482514.0398235208,-407.6553712784662,1,15,482514.0398235208
2025-10-16,483510.3809709097,996.3411473889137,1,15,483510.3809709097
2025-10-17,484290.6719371035,780.2909661937738,1,15,484290.6719371035
2025-10-20,486425.181207248,2134.50927014451,1,15,486425.181207248
2025-10-21,486643.5087976664,218.32759041839745,1,15,486643.5087976664
2025-10-22,481962.0048905928,-4681.50390707358,1,15,481962.0048905928
2025-10-23,477214.2047745143,-4747.800116078521,1,15,477214.2047745143
2025-10-24,477349.7816238295,135.57684931519907,1,15,477349.7816238295
2025-10-27,477783.1784731443,433.3968493147986,1,15,477783.1784731443
2025-10-28,487558.2353224593,9775.056849315006,1,15,487558.2353224593
2025-10-29,495172.4821717747,7614.246849315416,1,15,495172.4821717747
2025-10-30,493772.825044596,-1399.6571271787398,1,15,493772.825044596
2025-10-31,494203.2148909724,430.38984637643443,1,15,494203.2148909724
2025-11-03,495295.3495169764,1092.1346260039718,1,15,495295.3495169764
2025-11-04,492255.1863662918,-3040.163150684617,1,15,492255.1863662918
2025-11-05,492552.0632156072,296.87684931542026,1,15,492552.0632156072
2025-11-06,488842.9700649221,-3709.0931506850757,1,15,488842.9700649221
2025-11-07,484582.0169142371,-4260.9531506850035,1,15,484582.0169142371
2025-11-10,487585.5637635518,3003.5468493147055,1,15,487585.5637635518
2025-11-12,499931.5068493148,-68.49315068521537,2,15,487585.5637635518
2025-11-13,493568.4954757732,-6363.011373541609,2,15,481222.5523900102
2025-11-14,492951.0940892639,-617.4013865093002,2,15,480605.1510035009
2025-11-17,494273.4424874919,1322.3483982280013,2,15,481927.4994017289
2025-11-18,492919.2107860824,-1354.2317014095024,2,15,480573.2677003194
2025-11-19,490619.09249022,-2300.1182958623976,2,15,478273.149404457
2025-11-20,497853.9183589499,7234.825868729909,2,15,485507.9752731869
2025-11-21,500732.5827578276,2878.664398877707,2,15,488386.63967206463
2025-11-24,505407.3257430866,4674.742985258985,2,15,493061.3826573236
2025-11-25,507234.2275807653,1826.9018376787426,2,15,494888.28449500236
2025-11-26,506576.4020143843,-657.8255663810414,2,15,494230.4589286213
2025-11-28,502947.683986485,-3628.7180278992746,2,15,490601.74090072204
2025-12-01,502142.6058251888,-805.0781612962019,2,15,489796.66273942584
