Pair,OOS_PnL,Sharpe,MaxDD,MaxDD_pct,WinRate,N_Trades,Turnover,N_Days
MSCI/NDSN,12116.243733677107,1.339271187736172,-10469.337212576182,-0.020938674425152362,0.5205479452054794,13,9762.0,156
HLT/AIG,4139.319716101378,0.8768173619346725,-3701.4499999999944,-0.007402899999999988,0.47619047619047616,2,2498.0,156
WELL/AIG,3463.861512875424,0.30133253831573575,-9933.303829663968,-0.019866607659327937,0.524390243902439,17,39884.0,156
CFG/ALL,1743.7359148097694,0.3672899708330377,-4301.487282097926,-0.008602974564195853,0.375,6,10865.0,156
AFL/RSG,1117.4572318749276,0.6911430243695321,-1513.8299999999977,-0.0030276599999999954,0.5757575757575758,4,4061.0,156
ALL/DGX,382.2530278565339,0.09499875822362411,-6132.8325478402385,-0.012265665095680478,0.5277777777777778,6,8563.0,104
YUM/ACGL,0.0,0.0,0.0,0.0,,0,0.0,156
AWK/PLD,-399.9682824757126,-0.09113016191390758,-4255.64,-0.008511280000000001,0.5384615384615384,4,4721.0,156
AFL/AVB,-585.377498143122,-0.23458726712860187,-4047.6675748947982,-0.008095335149789596,0.42105263157894735,4,6912.0,156
CSX/AIG,-1720.9154693986382,-0.5091124253015042,-4018.915469398642,-0.008037830938797284,0.5909090909090909,2,10158.0,156
AWK/AIZ,-1730.3332851989273,-0.5578459270370569,-3879.162239792875,-0.00775832447958575,0.5454545454545454,8,9099.0,156
ALL/EQR,-1957.4957606775786,-0.5520265648402051,-5314.509560095363,-0.010629019120190725,0.43243243243243246,5,12819.0,52
ACGL/MCD,-3337.5711177551266,-0.8454650722799433,-4827.626140080819,-0.009655252280161638,0.5,9,14890.0,130
WFC/MMM,-6815.864963605623,-1.2747878895945972,-9634.170369137744,-0.019268340738275488,0.4918032786885246,14,19643.0,156
D/NSC,-8833.876985136245,-1.3794514997992948,-9181.947790120106,-0.01836389558024021,0.4090909090909091,14,37855.0,156
