Date,OOS_Equity,OOS_DailyPnL,Window,n_pairs,OOS_Equity_Chained
2025-09-30,499931.5068493148,-68.49315068521537,1,13,499931.5068493148
2025-10-01,494398.9217434996,-5532.585105815204,1,13,494398.9217434996
2025-10-02,496167.8865266273,1768.9647831277107,1,13,496167.8865266273
2025-10-03,490440.1033502202,-5727.783176407102,1,13,490440.1033502202
2025-10-06,494013.5031789562,3573.39982873603,1,13,494013.5031789562
2025-10-07,491058.8392652042,-2954.6639137520106,1,13,491058.8392652042
2025-10-08,495054.338789806,3995.4995246017934,1,13,495054.338789806
2025-10-09,492172.6093451853,-2881.7294446207234,1,13,492172.6093451853
2025-10-10,493819.710477873,1647.101132687705,1,13,493819.710477873
2025-10-13,495412.0491210325,1592.3386431595427,1,13,495412.0491210325
2025-10-14,493507.0649705299,-1904.9841505026561,1,13,493507.0649705299
2025-10-15,495727.0237365541,2219.9587660242105,1,13,495727.0237365541
2025-10-16,493410.7593736176,-2316.26436293649,1,13,493410.7593736176
2025-10-17,493068.9868878149,-341.7724858027068,1,13,493068.9868878149
2025-10-20,491916.8304446067,-1152.156443208165,1,13,491916.8304446067
2025-10-21,489026.6572939216,-2890.173150685092,1,13,489026.6572939216
2025-10-22,487831.4941432367,-1195.163150684908,1,13,487831.4941432367
2025-10-23,487330.6309925513,-500.86315068544354,1,13,487330.6309925513
2025-10-24,485281.8178418663,-2048.8131506849895,1,13,485281.8178418663
2025-10-27,487427.1646911814,2145.3468493151013,1,13,487427.1646911814
2025-10-28,487846.0615404964,418.89684931503143,1,13,487846.0615404964
2025-10-29,488777.3085938594,931.247053362953,1,13,488777.3085938594
2025-10-30,496407.6386807275,7630.33008686814,1,13,496407.6386807275
2025-10-31,495676.9635173096,-730.6751634179382,1,13,495676.9635173096
2025-11-03,503762.7773989459,8085.813881636306,1,13,503762.7773989459
2025-11-04,495089.8042482609,-8672.973150684964,1,13,495089.8042482609
2025-11-06,499931.5068493151,-68.49315068492433,2,12,495089.8042482609
2025-11-07,490417.3426001543,-9514.164249160793,2,12,485575.6399991001
2025-11-10,496848.3254061255,6430.982805971231,2,12,492006.62280507135
2025-11-11,495293.5019702913,-1554.8234358342015,2,12,490451.79936923715
2025-11-12,496811.1996917779,1517.697721486562,2,12,491969.4970907237
2025-11-13,505575.1761292078,8763.976437429897,2,12,500733.4735281536
2025-11-14,507133.0350556959,1557.8589264881448,2,12,502291.33245464176
2025-11-17,514091.6005735627,6958.565517866809,2,12,509249.89797250857
2025-11-18,513892.2963240745,-199.30424948822474,2,12,509050.59372302034
2025-11-19,516805.2554874797,2912.959163405176,2,12,511963.5528864255
2025-11-20,519701.4093732981,2896.153885818436,2,12,514859.70677224395
2025-11-21,500422.4455772176,-19278.963796080498,2,12,495580.74297616346
2025-11-24,507728.1576011821,7305.712023964501,2,12,502886.45500012796
2025-11-25,502459.6007626443,-5268.556838537799,2,12,497617.89816159016
2025-11-26,501416.3377995177,-1043.2629631265881,2,12,496574.63519846357
2025-11-28,503232.6409310515,1816.3031315337867,2,12,498390.93832999736
2025-12-01,493799.4710117306,-9433.169919320906,2,12,488957.76841067645
2025-12-02,486612.6030246996,-7186.867987031001,2,12,481770.90042364545
2025-12-03,478779.8770743043,-7832.725950395281,2,12,473938.17447325017
2025-12-04,483204.0139236194,4424.13684931508,2,12,478362.31132256525
2025-12-05,484300.2107729343,1096.1968493149034,2,12,479458.50817188015
2025-12-08,479763.1976222494,-4537.013150684885,2,12,474921.49502119527
2025-12-09,478325.3344715644,-1437.863150685036,2,12,473483.63187051023
2025-12-10,472272.9613208794,-6052.373150684987,2,12,467431.25871982524
2025-12-11,465583.0781701944,-6689.8831506849965,2,12,460741.37556914025
2025-12-12,459512.4850195092,-6070.593150685192,2,12,454670.78241845506
2025-12-16,499931.5068493148,-68.49315068521537,3,13,454670.78241845506
2025-12-17,499996.5736986297,65.06684931489872,3,13,454735.84926776995
2025-12-18,500460.580547945,464.0068493153085,3,13,455199.85611708526
2025-12-19,501451.6673972602,991.0868493152084,3,13,456190.9429664005
2025-12-22,501177.2681799559,-274.39921730430797,3,13,455916.54374909616
2025-12-23,501677.2483047979,499.98012484202627,3,13,456416.5238739382
2025-12-24,500077.7803074389,-1599.4679973589955,3,13,454817.0558765792
2025-12-26,499483.9956701985,-593.7846372404019,3,13,454223.2712393388
2025-12-29,499521.3258227196,37.33015252108453,3,13,454260.6013918599
2025-12-30,499504.2422826455,-17.08354007411981,3,13,454243.51785178576
2025-12-31,500475.602279291,971.3599966455367,3,13,455214.8778484313
2026-01-02,505500.5191286063,5024.916849315283,3,13,460239.7946977466
2026-01-05,510427.2059779215,4926.686849315185,3,13,465166.48154706176
2026-01-06,503544.7228272364,-6882.48315068509,3,13,458283.9983963767
2026-01-07,503199.9196765517,-344.8031506846892,3,13,457939.195245692
2026-01-08,504699.3165258667,1499.3968493149732,3,13,459438.59209500696
2026-01-09,510585.5633751815,5886.2468493148335,3,13,465324.8389443218
2026-01-12,513575.5902244967,2990.0268493151525,3,13,468314.86579363694
2026-01-13,519428.9270738114,5853.336849314743,3,13,474168.2026429517
2026-01-14,519846.6139231267,417.6868493153015,3,13,474585.889492267
2026-01-15,518692.7507724417,-1153.863150685036,3,13,473432.02634158195
2026-01-16,515261.2476217567,-3431.503150684992,3,13,470000.52319089696
2026-01-20,516265.584471072,1004.3368493153248,3,13,471004.8600402123
