pair_key,s1,s2,param_set,pair_pnl,pair_sharpe,run_sharpe,dsr_pvalue,n_trades,window_idx,train_end
AMAT/CSGP,AMAT,CSGP,aggressive,-3054.999345661747,-0.31575169250650903,0.4162581586416371,3.50463168982008e-12,28,1,2025-10-30
AMAT/LULU,AMAT,LULU,aggressive,17301.91147622213,1.851480441659913,0.4162581586416371,0.9999999994357944,32,1,2025-10-30
LRCX/FOXA,LRCX,FOXA,aggressive,2519.228707220183,0.29867863790100085,0.4162581586416371,0.9911138246089688,32,1,2025-10-30
LRCX/FIS,LRCX,FIS,aggressive,-1335.121584935712,-0.12532541518966106,0.4162581586416371,1.2551524540547366e-08,32,1,2025-10-30
GLW/FOX,GLW,FOX,aggressive,4917.208375151379,0.6910521447654773,0.4162581586416371,0.9999999999999836,34,1,2025-10-30
GLW/FISV,GLW,FISV,aggressive,-846.6548516587563,-0.08679522754696235,0.4162581586416371,2.7142528022199995e-06,36,1,2025-10-30
DVA/KLAC,DVA,KLAC,aggressive,838.8854277315163,0.07923066330848173,0.4162581586416371,0.3345727292002273,28,1,2025-10-30
DVA/INTU,DVA,INTU,aggressive,6430.697708888965,1.3137746531553482,0.4162581586416371,1.0,30,1,2025-10-30
TER/BR,TER,BR,aggressive,1717.808223411195,0.1174177375858076,0.4162581586416371,0.5593325898961578,36,1,2025-10-30
TER/ISRG,TER,ISRG,aggressive,924.7822456667304,0.08171608569495582,0.4162581586416371,0.33415543431584793,34,1,2025-10-30
CAT/PTC,CAT,PTC,aggressive,-1735.231758558733,-0.3323693545387849,0.4162581586416371,8.81689661480668e-12,28,1,2025-10-30
CAT/TYL,CAT,TYL,aggressive,8887.144387851611,1.7687973482733337,0.4162581586416371,1.0,28,1,2025-10-30
IRM/CMCSA,IRM,CMCSA,aggressive,829.5288737902827,0.10887084543688672,0.4162581586416371,0.5116474665543437,30,1,2025-10-30
IRM/ICE,IRM,ICE,aggressive,6556.450001051866,1.0192251215502555,0.4162581586416371,1.0,30,1,2025-10-30
KMX/MSFT,KMX,MSFT,aggressive,9396.865871263191,1.127343384026993,0.4162581586416371,0.9999999815861776,32,1,2025-10-30
AMAT/CSGP,AMAT,CSGP,crash_tolerant,1488.377121318206,0.35208547565776255,0.3744896219396769,0.999954845228751,10,1,2025-10-30
AMAT/LULU,AMAT,LULU,crash_tolerant,891.4682803180949,0.251268432760263,0.3744896219396769,0.9885307456834055,8,1,2025-10-30
LRCX/FOXA,LRCX,FOXA,crash_tolerant,-1047.614185472718,-0.2538700704314363,0.3744896219396769,5.297109313326813e-16,4,1,2025-10-30
LRCX/FIS,LRCX,FIS,crash_tolerant,2842.02392062775,0.6080788720692333,0.3744896219396769,0.9999994054439019,12,1,2025-10-30
GLW/FOX,GLW,FOX,crash_tolerant,-25.24646426032041,-0.010243837456487905,0.3744896219396769,0.011538923495638433,6,1,2025-10-30
GLW/FISV,GLW,FISV,crash_tolerant,8498.958547014608,1.871982069842579,0.3744896219396769,0.9999999999995329,18,1,2025-10-30
DVA/KLAC,DVA,KLAC,crash_tolerant,4227.207871396894,1.0193074079938207,0.3744896219396769,0.9999944865031984,12,1,2025-10-30
DVA/INTU,DVA,INTU,crash_tolerant,3831.106085722826,1.4841401653851058,0.3744896219396769,0.9999551984216517,6,1,2025-10-30
TER/BR,TER,BR,crash_tolerant,3091.665737124308,0.7039464940244186,0.3744896219396769,0.9998283527536604,10,1,2025-10-30
TER/ISRG,TER,ISRG,crash_tolerant,3630.675092934018,0.9078660409118968,0.3744896219396769,0.9999984064101414,12,1,2025-10-30
CAT/PTC,CAT,PTC,crash_tolerant,391.5117113151715,0.2526624838858905,0.3744896219396769,0.9571211424669216,4,1,2025-10-30
CAT/TYL,CAT,TYL,crash_tolerant,2320.060975199161,0.6425827452395874,0.3744896219396769,0.9999999917632284,12,1,2025-10-30
IRM/CMCSA,IRM,CMCSA,crash_tolerant,501.2864583235769,0.20279706624513705,0.3744896219396769,0.9636446613970678,10,1,2025-10-30
IRM/ICE,IRM,ICE,crash_tolerant,1826.300861474695,0.5550373528505251,0.3744896219396769,0.9999999994885016,14,1,2025-10-30
KMX/MSFT,KMX,MSFT,crash_tolerant,955.8699649107275,0.2257916251479365,0.3744896219396769,0.9677969931082401,12,1,2025-10-30
AMAT/CSGP,AMAT,CSGP,entry_threshold_strong,3620.36124270887,1.3027752912390549,0.1431740673691652,0.9999945015796978,8,1,2025-10-30
AMAT/LULU,AMAT,LULU,entry_threshold_strong,2259.221919731607,1.2089892245273468,0.1431740673691652,0.9999999999567756,8,1,2025-10-30
LRCX/FOXA,LRCX,FOXA,entry_threshold_strong,-1289.263278755373,-0.3821122915216567,0.1431740673691652,1.1463440776096637e-06,4,1,2025-10-30
LRCX/FIS,LRCX,FIS,entry_threshold_strong,1258.246514308564,0.5106981308249077,0.1431740673691652,0.9999977790177689,12,1,2025-10-30
GLW/FOX,GLW,FOX,entry_threshold_strong,36.8637532335681,0.03011336523594877,0.1431740673691652,0.06603086612328753,6,1,2025-10-30
GLW/FISV,GLW,FISV,entry_threshold_strong,8399.518937659346,1.4324825581801388,0.1431740673691652,0.9912640740957966,16,1,2025-10-30
DVA/KLAC,DVA,KLAC,entry_threshold_strong,2928.408571284889,1.4216406693827834,0.1431740673691652,0.9999999550570775,10,1,2025-10-30
DVA/INTU,DVA,INTU,entry_threshold_strong,696.3800113049324,0.3626925370345746,0.1431740673691652,0.9727248880595727,6,1,2025-10-30
TER/BR,TER,BR,entry_threshold_strong,1887.488295712549,0.8586952673811176,0.1431740673691652,0.999888117447795,10,1,2025-10-30
TER/ISRG,TER,ISRG,entry_threshold_strong,3043.940218414323,0.8165407987066118,0.1431740673691652,0.999980344077925,10,1,2025-10-30
CAT/PTC,CAT,PTC,entry_threshold_strong,1166.242231919254,1.1959826635656483,0.1431740673691652,0.9999935751935248,4,1,2025-10-30
CAT/TYL,CAT,TYL,entry_threshold_strong,1772.198182818547,1.1260802538008978,0.1431740673691652,0.9999999999978785,8,1,2025-10-30
IRM/CMCSA,IRM,CMCSA,entry_threshold_strong,393.9460007868163,0.34047416085570587,0.1431740673691652,0.9998214459968876,8,1,2025-10-30
IRM/ICE,IRM,ICE,entry_threshold_strong,807.2401088782988,0.47914193346101974,0.1431740673691652,0.9999999978240003,10,1,2025-10-30
KMX/MSFT,KMX,MSFT,entry_threshold_strong,904.1306240169047,0.41804235107227444,0.1431740673691652,0.9999779046940261,12,1,2025-10-30
AMAT/CSGP,AMAT,CSGP,entry_filter_kalman,3612.096580820281,1.3063383572905316,0.1429714339352386,0.9999950673825199,8,1,2025-10-30
AMAT/LULU,AMAT,LULU,entry_filter_kalman,2262.932519880715,1.2190061455118968,0.1429714339352386,0.9999999999713368,8,1,2025-10-30
LRCX/FOXA,LRCX,FOXA,entry_filter_kalman,-1318.923021254712,-0.38379488166831893,0.1429714339352386,1.6457155672406228e-06,4,1,2025-10-30
LRCX/FIS,LRCX,FIS,entry_filter_kalman,1198.334884629076,0.4759288844496646,0.1429714339352386,0.9999927954105988,12,1,2025-10-30
GLW/FOX,GLW,FOX,entry_filter_kalman,26.90381911912505,0.021985178005970777,0.1429714339352386,0.048070178000977994,6,1,2025-10-30
GLW/FISV,GLW,FISV,entry_filter_kalman,8479.145032350272,1.4428872580055434,0.1429714339352386,0.9914387022848536,16,1,2025-10-30
DVA/KLAC,DVA,KLAC,entry_filter_kalman,2970.914984341784,1.424906168057675,0.1429714339352386,0.9999999604799973,10,1,2025-10-30
DVA/INTU,DVA,INTU,entry_filter_kalman,696.3800113049324,0.3626925370345746,0.1429714339352386,0.9727248880595727,6,1,2025-10-30
TER/BR,TER,BR,entry_filter_kalman,1891.28829571255,0.8557263578049589,0.1429714339352386,0.9998927545217443,10,1,2025-10-30
TER/ISRG,TER,ISRG,entry_filter_kalman,3068.200218414323,0.8207235037248977,0.1429714339352386,0.9999819723923605,10,1,2025-10-30
CAT/PTC,CAT,PTC,entry_filter_kalman,1166.242231919254,1.1959826635656483,0.1429714339352386,0.9999935751935248,4,1,2025-10-30
CAT/TYL,CAT,TYL,entry_filter_kalman,1782.698016050694,1.1301308505829997,0.1429714339352386,0.999999999998515,8,1,2025-10-30
IRM/CMCSA,IRM,CMCSA,entry_filter_kalman,352.0195483160564,0.3032552197307746,0.1429714339352386,0.9990532941799916,8,1,2025-10-30
IRM/ICE,IRM,ICE,entry_filter_kalman,792.9241684610395,0.46995524279255085,0.1429714339352386,0.9999999964058215,10,1,2025-10-30
KMX/MSFT,KMX,MSFT,entry_filter_kalman,905.6606240169046,0.41935933672560166,0.1429714339352386,0.9999786673053878,12,1,2025-10-30
AMAT/CSGP,AMAT,CSGP,short_term_beta_neutral,2897.331865647481,0.9818730061529487,0.1066701698106745,0.9999999999795844,18,1,2025-10-30
AMAT/LULU,AMAT,LULU,short_term_beta_neutral,1631.725990082653,0.46755639379846575,0.1066701698106745,0.9999879204120182,16,1,2025-10-30
LRCX/FOXA,LRCX,FOXA,short_term_beta_neutral,-109.379999999999,-0.21776461743805894,0.1066701698106745,8.906135533448514e-05,2,1,2025-10-30
LRCX/FIS,LRCX,FIS,short_term_beta_neutral,4533.250006860481,1.1440670870973588,0.1066701698106745,0.9999999810644123,16,1,2025-10-30
GLW/FOX,GLW,FOX,short_term_beta_neutral,1695.927769735572,1.0221007670024869,0.1066701698106745,0.9999999869340249,8,1,2025-10-30
GLW/FISV,GLW,FISV,short_term_beta_neutral,8804.51659727434,2.0888257255055955,0.1066701698106745,0.9999950221992135,24,1,2025-10-30
DVA/KLAC,DVA,KLAC,short_term_beta_neutral,-2275.07677698004,-0.7748322653554981,0.1066701698106745,1.6981393502472603e-11,16,1,2025-10-30
DVA/INTU,DVA,INTU,short_term_beta_neutral,-236.564276372261,-0.2119100760361161,0.1066701698106745,1.097625612133139e-09,14,1,2025-10-30
TER/BR,TER,BR,short_term_beta_neutral,1885.848539041837,0.5407161665568427,0.1066701698106745,0.9999998901574532,23,1,2025-10-30
TER/ISRG,TER,ISRG,short_term_beta_neutral,2846.774058813669,1.3247809131889527,0.1066701698106745,0.9999999237675077,24,1,2025-10-30
CAT/PTC,CAT,PTC,short_term_beta_neutral,3386.754856588719,1.6047077155783005,0.1066701698106745,0.9999999999619669,8,1,2025-10-30
CAT/TYL,CAT,TYL,short_term_beta_neutral,1050.670608795245,0.5150355550284388,0.1066701698106745,0.9999991665740218,18,1,2025-10-30
IRM/CMCSA,IRM,CMCSA,short_term_beta_neutral,-1266.524363615141,-0.6493613183191437,0.1066701698106745,3.451144092543994e-09,12,1,2025-10-30
IRM/ICE,IRM,ICE,short_term_beta_neutral,1763.859647610803,1.0637000558171672,0.1066701698106745,0.9999999999999928,18,1,2025-10-30
KMX/MSFT,KMX,MSFT,short_term_beta_neutral,524.9200070405102,0.3116107302492822,0.1066701698106745,0.9983194953710732,14,1,2025-10-30
AMAT/CSGP,AMAT,CSGP,kalman_aggressive,-3399.335569481556,-0.3564938829460053,0.0918932795012379,3.096680697601089e-10,32,1,2025-10-30
AMAT/LULU,AMAT,LULU,kalman_aggressive,7069.914390161731,1.0982908113865193,0.0918932795012379,0.9999999999592384,34,1,2025-10-30
LRCX/FOXA,LRCX,FOXA,kalman_aggressive,-2112.839780873876,-0.27702659291081627,0.0918932795012379,3.82038139091178e-15,34,1,2025-10-30
LRCX/FIS,LRCX,FIS,kalman_aggressive,-297.648829515608,-0.03174881093748514,0.0918932795012379,0.0012142267406628237,30,1,2025-10-30
GLW/FOX,GLW,FOX,kalman_aggressive,2674.468489952152,0.4500260185289058,0.0918932795012379,0.9999999996951132,36,1,2025-10-30
GLW/FISV,GLW,FISV,kalman_aggressive,12175.72776864919,0.934885704200063,0.0918932795012379,0.9995508132809585,36,1,2025-10-30
DVA/KLAC,DVA,KLAC,kalman_aggressive,-354.4230067131791,-0.03904180445111533,0.0918932795012379,0.00029786653164006377,30,1,2025-10-30
DVA/INTU,DVA,INTU,kalman_aggressive,-19.14566562315304,-0.003672240422075517,0.0918932795012379,0.015464782342405557,32,1,2025-10-30
TER/BR,TER,BR,kalman_aggressive,-722.6672510465187,-0.05919960432263373,0.0918932795012379,2.2714961365496403e-05,36,1,2025-10-30
TER/ISRG,TER,ISRG,kalman_aggressive,-2717.209732419987,-0.26524830665184346,0.0918932795012379,4.525183978208644e-12,36,1,2025-10-30
CAT/PTC,CAT,PTC,kalman_aggressive,-2437.606373669044,-0.5733803709802444,0.0918932795012379,1.1311524292208787e-07,28,1,2025-10-30
CAT/TYL,CAT,TYL,kalman_aggressive,9428.358603555525,2.2439884105185635,0.0918932795012379,1.0,30,1,2025-10-30
IRM/CMCSA,IRM,CMCSA,kalman_aggressive,1361.700518925853,0.19789793465690958,0.0918932795012379,0.9740959605415397,30,1,2025-10-30
IRM/ICE,IRM,ICE,kalman_aggressive,5666.076028575534,1.0360666984985543,0.0918932795012379,0.9999999999999164,32,1,2025-10-30
KMX/MSFT,KMX,MSFT,kalman_aggressive,2499.493186988036,0.38277860709950257,0.0918932795012379,0.9989401295766752,34,1,2025-10-30
AMAT/CSGP,AMAT,CSGP,monthly_aligned_windows,1129.565704838076,0.3592427090080886,0.0869496250049013,0.9999887108208583,24,1,2025-10-30
AMAT/LULU,AMAT,LULU,monthly_aligned_windows,4730.663587770812,0.7780955491561631,0.0869496250049013,0.9999992225429915,22,1,2025-10-30
LRCX/FOXA,LRCX,FOXA,monthly_aligned_windows,800.5971056726271,0.222769712574651,0.0869496250049013,0.98286032229568,24,1,2025-10-30
LRCX/FIS,LRCX,FIS,monthly_aligned_windows,2601.235361067587,0.45462177866574077,0.0869496250049013,0.9965144788332428,24,1,2025-10-30
