Date,Equity,DailyPnL,Window,Equity_Chained
2025-11-11,499931.5068493149,-68.49315068493152,1,499931.5068493149
2025-11-12,501065.3031450798,1133.796295764856,1,501065.3031450798
2025-11-13,495287.2190866494,-5778.084058430395,1,495287.2190866494
2025-11-14,500807.1500804687,5519.930993819376,1,500807.1500804687
2025-11-17,502393.3629979745,1586.212917505763,1,502393.3629979745
2025-11-18,504739.3999297378,2346.036931763287,1,504739.3999297378
2025-11-19,503612.0890341646,-1127.310895573231,1,503612.0890341646
2025-11-20,494094.9083614658,-9517.18067269877,1,494094.9083614658
2025-11-21,493423.7639918338,-671.1443696320057,1,493423.7639918338
2025-11-24,496291.8393448106,2868.075352976797,1,496291.8393448106
2025-11-25,496520.4969652946,228.6576204840094,1,496520.4969652946
2025-11-26,490036.9949473424,-6483.502017952153,1,490036.9949473424
2025-11-28,487960.2767186683,-2076.718228674144,1,487960.2767186683
2025-12-01,487731.0200722206,-229.2566464476986,1,487731.0200722206
2025-12-02,490441.3143700443,2710.294297823682,1,490441.3143700443
2025-12-03,493926.5347843447,3485.220414300449,1,493926.5347843447
2025-12-04,492939.9877939724,-986.546990372357,1,492939.9877939724
2025-12-05,493870.932545089,930.94475111668,1,493870.932545089
2025-12-08,494314.2430246536,443.3104795645922,1,494314.2430246536
2025-12-09,495487.835483808,1173.592459154315,1,495487.835483808
2025-12-10,499806.4567046501,4318.62122084212,1,499806.4567046501
2025-12-11,508314.0086253916,8507.551920741564,1,508314.0086253916
2025-12-12,503544.0110529825,-4769.997572409105,1,503544.0110529825
2025-12-15,504577.9054022974,1033.894349314854,1,504577.9054022974
2025-12-16,507986.4022516124,3408.496849315008,1,507986.4022516124
2025-12-17,504973.9791009275,-3012.423150684917,1,504973.9791009275
2025-12-18,507727.6859502428,2753.70684931532,1,507727.6859502428
2025-12-19,499931.5068493149,-68.49315068493152,2,507727.6859502428
2025-12-22,498929.9507977804,-1001.556051534484,2,506726.1298987083
2025-12-23,498286.8811490965,-643.069648683886,2,506083.06025002437
2025-12-24,498831.8385649595,544.9574158629403,2,506628.01766588737
2025-12-26,498004.9914499819,-826.8471149775432,2,505801.1705509098
2025-12-29,496193.5799023248,-1811.411547657102,2,503989.7590032527
2025-12-30,494678.2525594349,-1515.32734288997,2,502474.4316603628
2025-12-31,494637.9542884781,-40.29827095672954,2,502434.133389406
2026-01-02,492214.7607776398,-2423.193510838319,2,500010.9398785677
2026-01-05,492071.4976269548,-143.2631506850012,2,499867.6767278827
2026-01-06,490411.18447627,-1660.313150684815,2,498207.3635771979
2026-01-07,494934.011998279,4522.827522009029,2,502730.1910992069
2026-01-08,499716.9704283108,4782.95843003178,2,507513.1495292387
2026-01-09,495394.4472776259,-4322.523150684894,2,503190.6263785538
2026-01-12,485636.4438280179,-9758.00344960799,2,493432.6229289458
2026-01-13,478477.328484675,-7159.115343342884,2,486273.50758560287
2026-01-14,480440.6308824987,1963.30239782366,2,488236.8099834266
2026-01-15,480810.1802238558,369.5493413570803,2,488606.35932478367
2026-01-16,477214.602596208,-3595.577627647785,2,485010.7816971359
2026-01-20,474855.8060968638,-2358.796499344171,2,482651.9851977917
2026-01-21,475661.132946179,805.3268493151991,2,483457.3120471069
2026-01-22,473832.0197954938,-1829.113150685211,2,481628.1988964217
2026-01-23,472879.5366448087,-952.4831506850896,2,480675.7157457366
2026-01-26,471742.7134941238,-1136.823150684941,2,479538.8925950517
2026-01-27,475338.8603434389,3596.146849315148,2,483135.0394443668
2026-01-28,474047.1371927536,-1291.723150685313,2,481843.3162936815
2026-01-29,474945.8320420691,898.6948493154487,2,482742.011142997
2026-01-30,499931.5068493151,-68.49315068493152,3,482742.011142997
2026-02-02,504902.1141673659,4970.60731805081,3,487712.6184610478
2026-02-03,513203.7837838276,8301.669616461615,3,496014.28807750955
2026-02-04,516928.3930048299,3724.60922100232,3,499738.8972985118
2026-02-05,521112.7242515181,4184.331246688263,3,503923.2285452
2026-02-06,519787.5632328148,-1325.161018703366,3,502598.0675264967
2026-02-09,509811.4375579094,-9976.125674905372,3,492621.94185159134
2026-02-10,505820.5174540505,-3990.920103858924,3,488631.0217477324
2026-02-11,504219.8492205552,-1600.668233495322,3,487030.35351423715
2026-02-12,499157.1640865896,-5062.68513396557,3,481967.6683802715
2026-02-13,499771.7827419033,614.6186553137377,3,482582.28703558526
2026-02-17,499969.2597762856,197.4770343822893,3,482779.76406996755
2026-02-18,498644.6483614013,-1324.611414884333,3,481455.1526550832
2026-02-19,497794.5392195033,-850.1091418979922,3,480605.0435131852
2026-02-20,501972.4060688182,4177.866849314887,3,484782.9103625001
2026-02-23,507339.0329181334,5366.626849315246,3,490149.53721181536
2026-02-24,504570.7422045502,-2768.290713583236,3,487381.2464982321
2026-02-25,502645.539053865,-1925.203150685178,3,485456.04334754695
2026-02-26,504348.7159031803,1703.176849315292,3,487159.22019686224
2026-02-27,503802.8627524952,-545.853150685085,3,486613.36704617715
2026-03-02,507113.9396018102,3311.076849314966,3,489924.4438954921
2026-03-03,507560.466451125,446.5268493148033,3,490370.9707448069
2026-03-04,507253.0833004403,-307.3831506846473,3,490063.5875941222
2026-03-05,502784.010149755,-4469.07315068529,3,485594.5144434369
2026-03-06,502669.2669990701,-114.7431506849825,3,485479.77129275206
2026-03-09,495717.9038483852,-6951.363150684861,3,478528.40814206714
2026-03-10,497196.2206976999,1478.316849314724,3,480006.7249913818
2026-03-11,499931.5068493149,-68.49315068493152,4,480006.7249913818
2026-03-12,504028.0810841339,4096.57423481904,4,484103.2992262008
2026-03-13,501536.0183393045,-2492.062744829454,4,481611.2364813714
2026-03-16,500044.1343714693,-1491.883967835223,4,480119.3525135362
2026-03-17,497042.9842622568,-3001.150109212496,4,477118.20240432373
2026-03-18,496770.3233952189,-272.6608670378337,4,476845.5415372858
2026-03-19,497408.8579890345,638.534593815566,4,477484.0761311014
2026-03-20,497322.1696984367,-86.68829059775453,4,477397.3878405036
2026-03-23,496953.4087488261,-368.7609496106161,4,477028.62689089304
2026-03-24,500918.7390853897,3965.330336563522,4,480993.9572274566
2026-03-25,500672.250046813,-246.4890385766048,4,480747.4681888799
