Date,Equity,DailyPnL,Window,Equity_Chained
2025-11-06,499931.5068493148,-68.49315068493152,1,499931.5068493148
2025-11-07,488845.4599594801,-11086.04688983469,1,488845.4599594801
2025-11-10,489693.0418757256,847.5819162455155,1,489693.0418757256
2025-11-11,482702.5913271116,-6990.450548614026,1,482702.5913271116
2025-11-12,485250.1113813673,2547.520054255729,1,485250.1113813673
2025-11-13,471686.3206763184,-13563.79070504894,1,471686.3206763184
2025-11-14,469845.8492028732,-1840.471473445185,1,469845.8492028732
2025-11-17,469777.3560521882,-68.49315068498254,1,469777.3560521882
2025-11-18,469708.8629015032,-68.49315068498254,1,469708.8629015032
2025-11-19,469640.3697508182,-68.49315068498254,1,469640.3697508182
2025-11-20,468902.7237912692,-737.6459595490014,1,468902.7237912692
2025-11-21,465136.1221495548,-3766.601641714456,1,465136.1221495548
2025-11-24,468001.2211820665,2865.099032511702,1,468001.2211820665
2025-11-25,465250.2021409284,-2751.019041138119,1,465250.2021409284
2025-11-26,467063.3089902432,1813.106849314878,1,467063.3089902432
2025-11-28,466328.3458395583,-734.9631506849546,1,466328.3458395583
2025-12-01,464252.7226888734,-2075.623150684871,1,464252.7226888734
2025-12-02,466708.4295381884,2455.706849314971,1,466708.4295381884
2025-12-03,467394.5863875032,686.1568493148079,1,467394.5863875032
2025-12-04,469449.6732368186,2055.086849315441,1,469449.6732368186
2025-12-05,467282.5700861333,-2167.103150685318,1,467282.5700861333
2025-12-08,468401.1769354483,1118.606849314994,1,468401.1769354483
2025-12-09,468298.4737847635,-102.7031506848289,1,468298.4737847635
2025-12-10,474590.986639478,6292.512854714529,1,474590.986639478
2025-12-11,476464.8991270224,1873.912487544352,1,476464.8991270224
2025-12-12,458449.2509763369,-18015.64815068548,1,458449.2509763369
2025-12-16,499931.5068493148,-68.49315068493152,2,458449.2509763369
2025-12-17,491992.8256358864,-7938.681213428383,2,450510.5697629085
2025-12-18,493813.1524852014,1820.326849314966,2,452330.8966122235
2025-12-19,493020.6854161163,-792.4670690851053,2,451538.4295431384
2025-12-22,491180.250983149,-1840.434432967217,2,449697.9951101711
2025-12-23,491213.2898132252,33.03883007611148,2,449731.0339402473
2025-12-24,491134.3466625401,-78.94315068505239,2,449652.0907895622
2025-12-26,490395.4983069221,-738.8483556179563,2,448913.2424339442
2025-12-29,490190.4844745583,-205.0138323638821,2,448708.2286015804
2025-12-30,490195.278435789,4.793961230781861,2,448713.0225628111
2025-12-31,491230.654477385,1035.37604159594,2,449748.3986044071
2026-01-02,496479.2966784795,5248.642201094539,2,454997.04080550163
2026-01-05,501531.0256081761,5051.728929696605,2,460048.7697351982
2026-01-06,505550.6594560896,4019.633847913472,2,464068.4035831117
2026-01-07,499743.0870960319,-5807.572360057733,2,458260.831223054
2026-01-08,496845.5968457139,-2897.490250317962,2,455363.340972736
2026-01-09,500707.5803275905,3861.983481876552,2,459225.3244546126
2026-01-12,506631.5186309975,5923.938303407049,2,465149.2627580196
2026-01-13,513618.9391559541,6987.420524956542,2,472136.6832829762
2026-01-14,510825.257016564,-2793.682139390032,2,469343.0011435861
2026-01-15,519088.922509647,8263.665493082954,2,477606.6666366691
2026-01-16,517348.0059073003,-1740.916602346697,2,475865.7500343224
2026-01-20,520471.0139046089,3123.007997308625,2,478988.758031631
2026-01-21,524220.9263963342,3749.912491725292,2,482738.6705233563
2026-01-22,521159.2082456492,-3061.718150684959,2,479676.9523726713
2026-01-23,517915.4350949643,-3243.773150684894,2,476433.1792219864
2026-01-27,499931.5068493149,-68.49315068493152,3,476433.1792219864
2026-01-28,505515.6760369419,5584.169187627034,3,482017.34840961336
2026-01-29,515014.7514822087,9499.07544526679,3,491516.4238548802
2026-01-30,505552.6043959421,-9462.147086266661,3,482054.2767686136
2026-02-02,520245.742918354,14693.13852241193,3,496747.4152910255
2026-02-03,562104.1296551737,41858.38673681975,3,538605.8020278453
2026-02-04,537581.6382826708,-24522.49137250299,3,514083.31065534224
2026-02-05,548032.7684291641,10451.13014649332,3,524534.4408018356
2026-02-06,576747.654833519,28714.88640435494,3,553249.3272061904
