Pair,OOS_PnL,Sharpe,MaxDD,MaxDD_pct,WinRate,N_Trades,Turnover,N_Days
XOM/V,30716.32685213498,2.462705897471703,-12093.239999999983,-0.024186479999999965,0.6262626262626263,15,21431.0,156
ETR/AVB,9398.94939207936,1.3588690573037165,-5902.967129572211,-0.011805934259144422,0.6166666666666667,11,22264.0,156
RSG/AIG,6217.3914681606275,0.9383551137899772,-5308.7744331509075,-0.010617548866301814,0.6111111111111112,6,12981.0,156
RSG/AFL,5570.159278454836,1.2257315541604914,-4918.99999999999,-0.00983799999999998,0.5555555555555556,10,14600.0,156
ALL/SPG,1392.6333296916607,0.6692449635550888,-3816.121077856036,-0.007632242155712073,0.45161290322580644,8,6900.0,52
CB/ACGL,777.2376441118699,0.17974079468555348,-4349.635074410567,-0.008699270148821133,0.515625,12,23259.0,156
AIG/HST,529.885023174993,0.104659047504413,-5791.1549768250225,-0.011582309953650045,0.4230769230769231,3,24420.0,156
EVRG/AVB,423.5380805550169,0.11438515852122552,-3734.6600000000067,-0.007469320000000014,0.5555555555555556,9,14003.0,156
TJX/AVB,-291.9505943795269,-0.15618368377161476,-1645.7101700380063,-0.0032914203400760127,0.5,7,6711.0,156
BK/ALL,-1437.82773871977,-0.1887532530303721,-11536.684243224945,-0.02307336848644989,0.5,14,18053.0,156
C/GS,-2206.09999999998,-1.1347502482670184,-3023.7999999999965,-0.006047599999999993,0.5454545454545454,3,4826.0,156
CTRA/ACGL,-2798.6859149078723,-0.374358108038423,-10277.547424130207,-0.020555094848260413,0.5,12,50911.0,156
JNJ/AIG,-3605.18631075756,-1.323751758833304,-5100.297022040559,-0.010200594044081118,0.25,6,8612.0,156
ALL/GS,-10463.386553241102,-0.9472059072874411,-22837.788933071664,-0.045675577866143326,0.4716981132075472,8,5150.0,156
MCD/ACGL,-10886.444737186968,-3.119153003891318,-10886.444737186966,-0.021772889474373933,0.34375,8,15786.0,104
