Pair,OOS_PnL,Sharpe,MaxDD,MaxDD_pct,WinRate,N_Trades,Turnover,N_Days
L/AWK,17454.725530239146,2.6665977165176584,-3508.1300000000047,-0.007016260000000009,0.5949367088607594,13,24612.0,156
MNST/AWK,8469.308000384313,1.2868971441809298,-4520.040000000003,-0.009040080000000006,0.5416666666666666,7,15903.0,130
WELL/AIG,7537.70271302694,1.1436267937890203,-8652.854860950174,-0.017305709721900348,0.5882352941176471,5,5981.0,156
STT/C,3691.495954556147,0.9497136781755248,-4909.514882101523,-0.009819029764203046,0.49333333333333335,18,24314.0,156
CSX/AIG,3376.7512572422042,0.9696998545614007,-2453.1087427578054,-0.004906217485515611,0.47058823529411764,4,13674.0,156
AFL/ICE,2226.607188806379,0.5236519295649603,-4917.172811193623,-0.009834345622387245,0.5609756097560976,9,12510.0,156
MAR/AME,767.0563986732006,0.29453389498650717,-1671.6239819933562,-0.003343247963986712,0.5833333333333334,1,906.0,156
ACGL/YUM,0.0,0.0,0.0,0.0,,0,0.0,156
ESS/ALL,0.0,0.0,0.0,0.0,,0,0.0,0
HST/ALL,-807.9499999999906,-0.4184211114388023,-1945.9999999999927,-0.0038919999999999853,0.36363636363636365,1,5920.0,156
AEE/CNP,-1006.7328271718617,-0.48190542157839794,-2768.8099999999977,-0.005537619999999996,0.44594594594594594,17,48703.0,156
CINF/AWK,-3050.465112289588,-0.833166357472575,-5852.974000836865,-0.011705948001673731,0.38461538461538464,6,6877.0,156
CSCO/ALL,-4296.978550724654,-1.4445523386558228,-5120.813757868551,-0.010241627515737102,0.5263157894736842,2,4252.0,156
AIG/PEP,-6001.111032874995,-1.9964257113616575,-6671.337416132259,-0.013342674832264518,0.38461538461538464,6,11013.0,156
CSCO/HST,-8258.450028731522,-1.971752077921434,-9924.589999999993,-0.019849179999999987,0.3548387096774194,9,52537.0,156
