pair_key,s1,s2,param_set,pair_pnl,pair_sharpe,run_sharpe,dsr_pvalue,n_trades,window_idx,train_end
AMAT/CSGP,AMAT,CSGP,aggressive,1641.659379569592,0.21785181547845833,1.3323940033528447,0.9878453392128035,26,1,2025-10-31
AMAT/LULU,AMAT,LULU,aggressive,19186.34317161366,1.8666207322075294,1.3323940033528447,0.9999999997939348,32,1,2025-10-31
GLW/FOXA,GLW,FOXA,aggressive,8114.438384124905,1.0561592838965668,1.3323940033528447,1.0,30,1,2025-10-31
GLW/FOX,GLW,FOX,aggressive,4114.686857130387,0.5375021522200152,1.3323940033528447,0.9999999998026118,34,1,2025-10-31
LRCX/FISV,LRCX,FISV,aggressive,23814.63852372844,1.4138852586170414,1.3323940033528447,0.9996172484971847,34,1,2025-10-31
LRCX/BR,LRCX,BR,aggressive,2557.905481766157,0.34231684671907237,1.3323940033528447,0.9996521797593514,34,1,2025-10-31
TER/ICE,TER,ICE,aggressive,4595.160148392245,0.3708929976426044,1.3323940033528447,0.9999518033827824,34,1,2025-10-31
TER/CMCSA,TER,CMCSA,aggressive,13754.41130165835,1.4220534062621268,1.3323940033528447,0.9999999974227296,28,1,2025-10-31
CAT/KLAC,CAT,KLAC,aggressive,5985.492292107247,1.0456242867685828,1.3323940033528447,1.0,22,1,2025-10-31
CAT/INTU,CAT,INTU,aggressive,5624.421757287055,0.7368795644480467,1.3323940033528447,0.9999996835821916,28,1,2025-10-31
KMX/TYL,KMX,TYL,aggressive,2750.710000000008,0.45189583093539115,1.3323940033528447,0.9994605056274761,22,1,2025-10-31
KMX/PTC,KMX,PTC,aggressive,3206.899999999987,0.49628341702755885,1.3323940033528447,0.9994229079532924,28,1,2025-10-31
KEYS/ISRG,KEYS,ISRG,aggressive,-2899.559999999989,-0.6946412909060748,1.3323940033528447,5.469962678808614e-17,28,1,2025-10-31
KEYS/NKE,KEYS,NKE,aggressive,-1400.992106113597,-0.23377737254326705,1.3323940033528447,1.2031977777963544e-08,26,1,2025-10-31
IRM/MSFT,IRM,MSFT,aggressive,2811.745730529117,0.4257789196403509,1.3323940033528447,0.9999992674251629,34,1,2025-10-31
AMAT/CSGP,AMAT,CSGP,kalman_aggressive,2296.930854302344,0.32062265854552263,0.4576182154790763,0.9999208140931897,30,1,2025-10-31
AMAT/LULU,AMAT,LULU,kalman_aggressive,9459.693927241338,1.2577226888847621,0.4576182154790763,0.9999999988988486,34,1,2025-10-31
GLW/FOXA,GLW,FOXA,kalman_aggressive,1204.380991751308,0.1894440423427066,0.4576182154790763,0.952558372594495,34,1,2025-10-31
GLW/FOX,GLW,FOX,kalman_aggressive,302.3092969155987,0.0475102699751002,0.4576182154790763,0.11462726420844699,36,1,2025-10-31
LRCX/FISV,LRCX,FISV,kalman_aggressive,18511.57506963608,1.37151341598043,0.4576182154790763,0.9997014434965305,34,1,2025-10-31
LRCX/BR,LRCX,BR,kalman_aggressive,156.9310054091474,0.024767361667085652,0.4576182154790763,0.05554259938974358,36,1,2025-10-31
TER/ICE,TER,ICE,kalman_aggressive,7396.35268334201,0.8076622369829298,0.4576182154790763,0.9999999986250199,34,1,2025-10-31
TER/CMCSA,TER,CMCSA,kalman_aggressive,1227.023564014956,0.16443775976725308,0.4576182154790763,0.8056510768227414,30,1,2025-10-31
CAT/KLAC,CAT,KLAC,kalman_aggressive,756.5423063899541,0.15177477540981107,0.4576182154790763,0.8025682685569795,28,1,2025-10-31
CAT/INTU,CAT,INTU,kalman_aggressive,4565.587668202731,0.7327080253096206,0.4576182154790763,0.9999998048558268,30,1,2025-10-31
KMX/TYL,KMX,TYL,kalman_aggressive,1850.930000000008,0.3297059808043457,0.4576182154790763,0.9995289784025987,24,1,2025-10-31
KMX/PTC,KMX,PTC,kalman_aggressive,521.9199999999882,0.09511041213961045,0.4576182154790763,0.4117856939161851,28,1,2025-10-31
KEYS/ISRG,KEYS,ISRG,kalman_aggressive,-710.3599999999972,-0.07934926853427768,0.4576182154790763,0.0011168778026673933,32,1,2025-10-31
KEYS/NKE,KEYS,NKE,kalman_aggressive,-2578.897166865078,-0.39152917184438085,0.4576182154790763,2.278408484765924e-12,30,1,2025-10-31
IRM/MSFT,IRM,MSFT,kalman_aggressive,-31.33920887741806,-0.007520631611834038,0.4576182154790763,0.01295543415470268,36,1,2025-10-31
AMAT/CSGP,AMAT,CSGP,short_term_beta_neutral,2547.771865647482,0.8563511956844633,0.4135795594592085,0.9999999999770983,18,1,2025-10-31
AMAT/LULU,AMAT,LULU,short_term_beta_neutral,-447.2112453057237,-0.2029697536602178,0.4135795594592085,9.514834876645498e-10,16,1,2025-10-31
GLW/FOXA,GLW,FOXA,short_term_beta_neutral,1478.64665195408,0.5298620315807179,0.4135795594592085,0.9999889261502836,8,1,2025-10-31
GLW/FOX,GLW,FOX,short_term_beta_neutral,1704.067585856594,0.5989392114529747,0.4135795594592085,0.9999908523623376,8,1,2025-10-31
LRCX/FISV,LRCX,FISV,short_term_beta_neutral,7172.524864143418,1.7044693113296878,0.4135795594592085,0.9999999999950235,22,1,2025-10-31
LRCX/BR,LRCX,BR,short_term_beta_neutral,3391.304709814566,1.4389981305709603,0.4135795594592085,0.9999999999808533,16,1,2025-10-31
TER/ICE,TER,ICE,short_term_beta_neutral,1669.546686607569,0.4875342993742922,0.4135795594592085,0.9999995007476533,28,1,2025-10-31
TER/CMCSA,TER,CMCSA,short_term_beta_neutral,8664.361472809678,1.2051739837501396,0.4135795594592085,0.9999999988557415,20,1,2025-10-31
CAT/KLAC,CAT,KLAC,short_term_beta_neutral,796.6145758527841,0.7537671827224345,0.4135795594592085,0.9992380969552602,6,1,2025-10-31
CAT/INTU,CAT,INTU,short_term_beta_neutral,2393.937293971073,0.8636364090114238,0.4135795594592085,0.9999999945056627,15,1,2025-10-31
KMX/TYL,KMX,TYL,short_term_beta_neutral,-183.4299999999994,-0.32293884003149415,0.4135795594592085,1.9846760202650142e-06,6,1,2025-10-31
KMX/PTC,KMX,PTC,short_term_beta_neutral,112.3899999999999,0.08983583852792644,0.4135795594592085,0.36552503790822366,10,1,2025-10-31
KEYS/ISRG,KEYS,ISRG,short_term_beta_neutral,769.5199999999987,1.0468142945825685,0.4135795594592085,0.9999950633152842,4,1,2025-10-31
KEYS/NKE,KEYS,NKE,short_term_beta_neutral,1677.221891846607,0.7985828923260831,0.4135795594592085,0.9999531111350046,10,1,2025-10-31
IRM/MSFT,IRM,MSFT,short_term_beta_neutral,315.7097921642807,0.30390568719358774,0.4135795594592085,0.9988146122778547,6,1,2025-10-31
AMAT/CSGP,AMAT,CSGP,monthly_aligned_windows,2498.704301157427,0.7488690627280798,0.3674980041319896,0.9999999995655497,24,1,2025-10-31
AMAT/LULU,AMAT,LULU,monthly_aligned_windows,630.7591947199021,0.1339356617528737,0.3674980041319896,0.6981365346586398,22,1,2025-10-31
GLW/FOXA,GLW,FOXA,monthly_aligned_windows,5222.06448354044,1.6894762895132729,0.3674980041319896,0.9999999999999951,24,1,2025-10-31
GLW/FOX,GLW,FOX,monthly_aligned_windows,5243.851467414912,1.635207445319001,0.3674980041319896,0.9999999999999983,24,1,2025-10-31
LRCX/FISV,LRCX,FISV,monthly_aligned_windows,10547.9385051703,1.0006349360788958,0.3674980041319896,0.9999999650321592,24,1,2025-10-31
LRCX/BR,LRCX,BR,monthly_aligned_windows,5179.111346385114,0.8281462228286531,0.3674980041319896,0.9999999557695429,24,1,2025-10-31
TER/ICE,TER,ICE,monthly_aligned_windows,4475.75103776908,1.0038383317731143,0.3674980041319896,0.9999999712884046,24,1,2025-10-31
TER/CMCSA,TER,CMCSA,monthly_aligned_windows,4861.019623260321,1.1864453110650843,0.3674980041319896,0.9999999537217864,24,1,2025-10-31
