Pair,OOS_PnL,Sharpe,MaxDD,MaxDD_pct,WinRate,N_Trades,Turnover,N_Days
HLT/AIG,5764.97238973162,0.5833727578035673,-7956.542187747267,-0.015913084375494536,0.47692307692307695,15,30664.0,156
AWK/PLD,3319.5410049750917,0.5515010225187054,-4565.609999999999,-0.009131219999999997,0.5714285714285714,13,17378.0,156
ETR/AVB,2046.7277673349852,0.4616757131870922,-6096.841351094479,-0.012193682702188959,0.5102040816326531,10,12377.0,156
AFL/RSG,1325.8181861919868,0.7533974910899769,-1751.9115689142611,-0.003503823137828522,0.56,4,4726.0,156
ALL/DGX,0.0,0.0,0.0,0.0,,0,0.0,0
CSX/AIG,0.0,0.0,0.0,0.0,,0,0.0,156
ALL/EQR,-2301.200921069518,-0.22957113289045403,-13646.31095590939,-0.02729262191181878,0.5053763440860215,19,54706.0,156
WFC/MMM,-2676.0467099294406,-0.9045578262857096,-5295.406709929433,-0.010590813419858867,0.5,6,10110.0,156
AFL/AVB,-2929.696771536897,-0.5207682771421214,-9412.697686686008,-0.018825395373372016,0.5238095238095238,7,13999.0,156
AWK/AXP,-3033.582170637962,-1.7456911112229718,-4195.959999999994,-0.008391919999999987,0.4444444444444444,1,1060.0,104
RJF/BLK,-3291.156387491147,-1.984493601242331,-3824.6789126300146,-0.0076493578252600294,0.3,4,3757.0,156
ACGL/MCD,-6764.223256972282,-1.6390348136003006,-7979.550136796231,-0.01595910027359246,0.38596491228070173,18,19623.0,156
AWK/BK,-7718.621235022544,-1.3915320585147384,-9424.37632187881,-0.01884875264375762,0.5,3,5102.0,156
ALL/CFG,-8794.841730968941,-0.7936213923819937,-17915.371083348866,-0.03583074216669773,0.48,11,29622.0,156
AIG/AVB,-9058.63774835678,-1.9384423881404516,-10973.38848424771,-0.021946776968495417,0.3673469387755102,11,17395.0,156
