pair_key,s1,s2,param_set,pair_pnl,pair_sharpe,run_sharpe,dsr_pvalue,n_trades,window_idx,train_end
LRCX/TRMB,LRCX,TRMB,monthly_aligned_windows,1539.181746965518,0.3864030980247682,0.2318054928794514,0.9860626326940899,22,1,2025-10-17
LRCX/FMC,LRCX,FMC,monthly_aligned_windows,6853.156986552705,1.045794117115782,0.2318054928794514,0.9999541610064496,24,1,2025-10-17
AMAT/JKHY,AMAT,JKHY,monthly_aligned_windows,517.1694824298545,0.13672638095153763,0.2318054928794514,0.6865404543635478,24,1,2025-10-17
AMAT/NRG,AMAT,NRG,monthly_aligned_windows,4451.989802618805,0.9060778398330576,0.2318054928794514,0.9999999635913898,24,1,2025-10-17
KLAC/BR,KLAC,BR,monthly_aligned_windows,2603.486363598465,0.731978592426773,0.2318054928794514,0.9999999996209844,22,1,2025-10-17
KLAC/FISV,KLAC,FISV,monthly_aligned_windows,157.8229082372245,0.03146361161258341,0.2318054928794514,0.08016758280099379,24,1,2025-10-17
STLD/INTU,STLD,INTU,monthly_aligned_windows,-2886.813184233565,-0.3342147223310497,0.2318054928794514,2.548591118663311e-06,24,1,2025-10-17
STLD/PYPL,STLD,PYPL,monthly_aligned_windows,441.9049640654405,0.11959829876925379,0.2318054928794514,0.5738702635369132,24,1,2025-10-17
ODFL/ADBE,ODFL,ADBE,monthly_aligned_windows,3700.335210561163,0.47915152811706596,0.2318054928794514,0.9993767183462754,20,1,2025-10-17
ODFL/TYL,ODFL,TYL,monthly_aligned_windows,-1521.968234276737,-0.791728041410834,0.2318054928794514,4.4088093562485907e-10,22,1,2025-10-17
CVS/GDDY,CVS,GDDY,monthly_aligned_windows,7058.275741882033,2.1741906842052385,0.2318054928794514,0.9999999999999492,24,1,2025-10-17
CVS/PTC,CVS,PTC,monthly_aligned_windows,4186.823519965877,0.5399483826123715,0.2318054928794514,0.9999561608595671,24,1,2025-10-17
VLO/PLTR,VLO,PLTR,monthly_aligned_windows,2554.524814659133,0.5758646248289242,0.2318054928794514,0.9999997069727555,24,1,2025-10-17
VLO/ICE,VLO,ICE,monthly_aligned_windows,3102.128975176704,1.5966576314943235,0.2318054928794514,1.0,22,1,2025-10-17
UNH/ULTA,UNH,ULTA,monthly_aligned_windows,-2481.747318002698,-0.5071229688446369,0.2318054928794514,4.872155665716833e-10,24,1,2025-10-17
LRCX/TRMB,LRCX,TRMB,weekly_aligned_windows,1133.425720121646,0.21664783295814416,0.1333880260114569,0.9381400557736143,68,1,2025-10-17
LRCX/FMC,LRCX,FMC,weekly_aligned_windows,-4837.921836838741,-0.901178738847572,0.1333880260114569,1.5929907132324525e-27,70,1,2025-10-17
AMAT/JKHY,AMAT,JKHY,weekly_aligned_windows,4744.746467025357,0.6469700666842971,0.1333880260114569,0.9999915233325049,62,1,2025-10-17
AMAT/NRG,AMAT,NRG,weekly_aligned_windows,221.9274743444867,0.04303778660062854,0.1333880260114569,0.09904853085965437,60,1,2025-10-17
KLAC/BR,KLAC,BR,weekly_aligned_windows,-2911.318766241006,-0.7487711226749046,0.1333880260114569,4.5383460633955875e-27,66,1,2025-10-17
KLAC/FISV,KLAC,FISV,weekly_aligned_windows,13201.47851916467,1.6227664334976541,0.1333880260114569,0.9999972632619496,58,1,2025-10-17
STLD/INTU,STLD,INTU,weekly_aligned_windows,-2305.241956828768,-0.5814634869927441,0.1333880260114569,7.625097322114249e-21,70,1,2025-10-17
STLD/PYPL,STLD,PYPL,weekly_aligned_windows,-1999.915147455779,-0.3831323237683979,0.1333880260114569,1.3143500333527014e-09,66,1,2025-10-17
ODFL/ADBE,ODFL,ADBE,weekly_aligned_windows,-2255.440439086029,-0.7338180032747386,0.1333880260114569,2.647135020707744e-28,66,1,2025-10-17
ODFL/TYL,ODFL,TYL,weekly_aligned_windows,-2978.111289938443,-1.141719695571457,0.1333880260114569,2.4110892161976635e-18,64,1,2025-10-17
CVS/GDDY,CVS,GDDY,weekly_aligned_windows,1184.7266815295,0.207485968051291,0.1333880260114569,0.8946511785039795,64,1,2025-10-17
CVS/PTC,CVS,PTC,weekly_aligned_windows,5548.866849190572,1.378176504981424,0.1333880260114569,0.9999999999999859,56,1,2025-10-17
VLO/PLTR,VLO,PLTR,weekly_aligned_windows,11446.67387072899,1.5564080911207006,0.1333880260114569,1.0,60,1,2025-10-17
VLO/ICE,VLO,ICE,weekly_aligned_windows,3259.961383342642,0.6976554575342446,0.1333880260114569,0.9999999999298302,56,1,2025-10-17
UNH/ULTA,UNH,ULTA,weekly_aligned_windows,5578.087717710511,1.0130308226457543,0.1333880260114569,1.0,66,1,2025-10-17
LRCX/TRMB,LRCX,TRMB,kalman_aggressive,6037.399399567656,1.2981767823838897,-0.2108093556820219,0.9999999999999959,32,1,2025-10-17
LRCX/FMC,LRCX,FMC,kalman_aggressive,3482.23006593631,0.46700074663484115,-0.2108093556820219,0.9999999796406788,32,1,2025-10-17
AMAT/JKHY,AMAT,JKHY,kalman_aggressive,3726.01233763758,0.5068773257863016,-0.2108093556820219,0.999995023763474,30,1,2025-10-17
AMAT/NRG,AMAT,NRG,kalman_aggressive,5932.83465687832,0.7286407333870599,-0.2108093556820219,0.9999999996391982,32,1,2025-10-17
KLAC/BR,KLAC,BR,kalman_aggressive,381.0231306881222,0.06287428984595517,-0.2108093556820219,0.19916074687792018,32,1,2025-10-17
KLAC/FISV,KLAC,FISV,kalman_aggressive,5089.96242134255,0.6226073786662056,-0.2108093556820219,0.9999248890259186,34,1,2025-10-17
STLD/INTU,STLD,INTU,kalman_aggressive,-4515.445714715428,-0.4719646107112341,-0.2108093556820219,6.101381243813634e-12,30,1,2025-10-17
STLD/PYPL,STLD,PYPL,kalman_aggressive,-7543.448196088957,-0.8359441772311024,-0.2108093556820219,5.123496737868642e-14,26,1,2025-10-17
ODFL/ADBE,ODFL,ADBE,kalman_aggressive,-1683.879086705792,-0.547425882162678,-0.2108093556820219,4.095580686388506e-19,26,1,2025-10-17
ODFL/TYL,ODFL,TYL,kalman_aggressive,-7536.538308357385,-1.2688719634817949,-0.2108093556820219,1.3705855257182115e-20,30,1,2025-10-17
CVS/GDDY,CVS,GDDY,kalman_aggressive,3556.410410716805,0.6175675838507803,-0.2108093556820219,0.9999999998769576,34,1,2025-10-17
CVS/PTC,CVS,PTC,kalman_aggressive,1741.899115743551,0.2860887077082165,-0.2108093556820219,0.9989661091486753,32,1,2025-10-17
VLO/PLTR,VLO,PLTR,kalman_aggressive,12408.11507115409,1.046515743334974,-0.2108093556820219,0.9999999999935784,34,1,2025-10-17
VLO/ICE,VLO,ICE,kalman_aggressive,64.85557922723638,0.014188062069635568,-0.2108093556820219,0.03663402191081675,32,1,2025-10-17
UNH/ULTA,UNH,ULTA,kalman_aggressive,-4263.424056500293,-0.5883590218075018,-0.2108093556820219,2.5881103391576105e-13,34,1,2025-10-17
LRCX/TRMB,LRCX,TRMB,aggressive,2745.500118073151,0.5066303171077424,-0.4998262520774479,0.9999999690388894,32,1,2025-10-17
LRCX/FMC,LRCX,FMC,aggressive,15825.78944644826,1.8624661402740463,-0.4998262520774479,1.0,28,1,2025-10-17
AMAT/JKHY,AMAT,JKHY,aggressive,249.7595232139906,0.028697053265024523,-0.4998262520774479,0.06851645987769496,32,1,2025-10-17
AMAT/NRG,AMAT,NRG,aggressive,-1232.825530670208,-0.12643025193290422,-0.4998262520774479,0.00014993177154616993,32,1,2025-10-17
KLAC/BR,KLAC,BR,aggressive,-2857.782481014728,-0.3882198433764035,-0.4998262520774479,7.373290012600363e-19,34,1,2025-10-17
KLAC/FISV,KLAC,FISV,aggressive,2473.071215479318,0.25792035738845387,-0.4998262520774479,0.9631190371787305,32,1,2025-10-17
STLD/INTU,STLD,INTU,aggressive,-8839.286480666455,-0.8813761511661425,-0.4998262520774479,1.7483752988567277e-11,30,1,2025-10-17
