Pair,OOS_PnL,Sharpe,MaxDD,MaxDD_pct,WinRate,N_Trades,Turnover,N_Days
WELL/AIG,9354.480638527417,1.7348232307118856,-3981.9731286210763,-0.007963946257242152,0.5714285714285714,4,4648.0,156
MNST/AWK,7774.595943026749,1.6683487022460175,-4504.569999999996,-0.009009139999999992,0.5272727272727272,5,7816.0,130
CSX/AIG,4011.354913093868,1.3457084523923737,-1119.6027230590867,-0.0022392054461181734,0.47619047619047616,4,15634.0,156
AIG/PEP,3995.1519952016884,1.0552329431863956,-2452.9456296416056,-0.004905891259283211,0.6,7,13620.0,156
AEE/CNP,126.98507662249517,0.06551253421075937,-2905.823683814292,-0.005811647367628584,0.43478260869565216,18,46549.0,156
VTRS/WMT,0.0,0.0,0.0,0.0,,0,0.0,156
YUM/ACGL,0.0,0.0,0.0,0.0,,0,0.0,156
MAR/AME,-2.8204580634876493,-0.0015761351360595842,-1265.9162849470813,-0.0025318325698941626,0.5555555555555556,1,984.0,156
HST/ALL,-809.1499999999909,-0.4196066251034533,-1946.479999999993,-0.003892959999999986,0.36363636363636365,1,5908.0,156
CINF/AWK,-976.805830712854,-0.30680363680030376,-5803.21749999999,-0.01160643499999998,0.4482758620689655,5,5878.0,156
VTRS/AME,-1365.8109650554748,-0.8772271933189125,-2823.319999999995,-0.00564663999999999,0.4375,6,56347.0,78
F/AWK,-2137.144007606772,-0.37524609089590677,-7229.7465655571605,-0.014459493131114321,0.5,5,39733.0,156
CSCO/ALL,-4174.950144927552,-1.462941422376278,-4994.739553506086,-0.009989479107012172,0.5263157894736842,2,4100.0,156
AME/WMT,-6147.387187660332,-0.7664319122855521,-11995.097187660336,-0.023990194375320673,0.3972602739726027,12,20692.0,156
CSCO/HST,-7882.6074372702315,-1.7457025883594344,-10477.682637495207,-0.020955365274990412,0.3333333333333333,7,57816.0,156
