Date,Equity,DailyPnL,Window,Equity_Chained
2025-09-10,499931.5068493151,-68.49315068493152,1,499931.5068493151
2025-09-11,499967.2295255138,35.72267619869672,1,499967.2295255138
2025-09-12,498602.6830609451,-1364.546464568703,1,498602.6830609451
2025-09-15,499697.1221165255,1094.439055580413,1,499697.1221165255
2025-09-16,499131.2171871846,-565.9049293409334,1,499131.2171871846
2025-09-17,502586.9308004197,3455.713613235042,1,502586.9308004197
2025-09-18,501905.3176497347,-681.6131506849779,1,501905.3176497347
2025-09-19,499797.5964098818,-2107.721239852835,1,499797.5964098818
2025-09-22,500936.4832591966,1138.886849314789,1,500936.4832591966
2025-09-23,503058.2201085116,2121.736849314999,1,503058.2201085116
2025-09-24,503006.2569578267,-51.9631506849546,1,503006.2569578267
2025-09-25,503556.0549416755,549.7979838488391,1,503556.0549416755
2025-09-26,507778.2351026675,4222.180160991964,1,507778.2351026675
2025-09-29,505985.8075563262,-1792.427546341321,1,505985.8075563262
2025-09-30,504889.6444685896,-1096.163087736582,1,504889.6444685896
2025-10-01,503546.6200618658,-1343.024406723795,1,503546.6200618658
2025-10-02,501281.3103089265,-2265.309752939269,1,501281.3103089265
2025-10-03,500843.1671582413,-438.1431506852387,1,500843.1671582413
2025-10-06,499988.5040075562,-854.6631506850244,1,499988.5040075562
2025-10-07,495400.9908568712,-4587.513150685001,1,495400.9908568712
2025-10-08,493816.9877061864,-1584.003150684875,1,493816.9877061864
2025-10-09,493575.1445555013,-241.8431506850757,1,493575.1445555013
2025-10-10,493132.3314048164,-442.8131506849313,1,493132.3314048164
2025-10-13,490960.5882541314,-2171.743150684983,1,490960.5882541314
2025-10-14,491369.7451034463,409.1568493149243,1,491369.7451034463
2025-10-15,490642.1119527613,-727.6331506849965,1,490642.1119527613
2025-10-17,499931.506849315,-68.49315068493152,2,490642.1119527613
2025-10-20,498999.7416735361,-931.7651757788844,2,489710.34677698236
2025-10-21,498672.2983371546,-327.443336381577,2,489382.9034406009
2025-10-22,498043.9251036593,-628.3732334952801,2,488754.53020710556
2025-10-23,497019.660362179,-1024.264741480234,2,487730.26546562527
2025-10-24,497857.7403933123,838.0800311332569,2,488568.3454967586
2025-10-27,497917.2572426274,59.51684931514319,2,488627.86234607367
2025-10-28,499361.7151146696,1444.4578720422,2,490072.32021811587
2025-10-29,499149.9156995727,-211.7994150969898,2,489860.520803019
2025-10-30,502754.7064537095,3604.790754136862,2,493465.3115571558
2025-10-31,502641.8101608263,-112.8962928832043,2,493352.4152642726
2025-11-03,503335.7712260361,693.9610652098199,2,494046.37632948236
2025-11-04,498218.2342327923,-5117.536993243848,2,488928.83933623857
2025-11-05,497085.8386723823,-1132.39556040999,2,487796.4437758286
2025-11-06,494614.1917612277,-2471.646911154618,2,485324.79686467396
2025-11-07,499479.2514523334,4865.059691105736,2,490189.8565557797
2025-11-10,503158.9749673692,3679.723515035817,2,493869.5800708155
2025-11-11,504262.0643958651,1103.089428495849,2,494972.66949931136
2025-11-12,504533.3144611,271.2500652349554,2,495243.91956454626
2025-11-13,503459.5275368894,-1073.78692421061,2,494170.1326403357
2025-11-14,502428.8346471831,-1030.692889706348,2,493139.43975062936
2025-11-17,502336.326663374,-92.50798380910419,2,493046.9317668203
2025-11-18,505718.5950158258,3382.268352451851,2,496429.2001192721
2025-11-19,506006.6961763074,288.1011604815722,2,496717.3012797537
2025-11-20,506999.2230256227,992.5268493152689,2,497709.828129069
2025-11-21,504111.1698749376,-2888.053150685038,2,494821.7749783839
2025-11-25,499931.5068493151,-68.49315068493152,3,494821.7749783839
2025-11-26,499913.4121343195,-18.09471499559004,3,494803.6802633883
2025-11-28,500146.5582188605,233.1460845409892,3,495036.8263479293
2025-12-01,499373.5872002728,-772.9710185877047,3,494263.85532934166
2025-12-02,497837.5518827282,-1536.035317544593,3,492727.820011797
2025-12-03,496725.3464247802,-1112.205457948032,3,491615.61455384904
2025-12-04,496908.4793655169,183.1329407367157,3,491798.74749458575
2025-12-05,496779.9838251077,-128.4955404092325,3,491670.2519541765
2025-12-08,497004.6720002338,224.6881751260953,3,491894.9401293026
2025-12-09,498469.9889916535,1465.316991419764,3,493360.2571207223
2025-12-10,495370.5833090587,-3099.405682594865,3,490260.8514381275
2025-12-11,493907.2580324336,-1463.32527662511,3,488797.5261615024
2025-12-12,496132.7148817483,2225.456849314738,3,491022.98301081714
2025-12-15,493844.0317310635,-2288.68315068481,3,488734.29986013233
2025-12-16,494027.0185803786,182.9868493151153,3,488917.28670944745
2025-12-17,492955.1854296937,-1071.83315068495,3,487845.45355876256
2025-12-18,491993.5022790085,-961.6831506851595,3,486883.77040807734
2025-12-19,493093.0991283234,1099.596849314868,3,487983.3672573922
2025-12-22,495328.2059776383,2235.106849314878,3,490218.47410670714
2025-12-23,496749.4928269533,1421.286849315045,3,491639.76095602213
2025-12-24,496097.0496762684,-652.443150684936,3,490987.31780533725
2025-12-26,496007.8665255836,-89.18315068481024,3,490898.13465465244
2025-12-29,495709.8333748985,-298.0331506850198,3,490600.1015039673
2025-12-30,495181.6702242137,-528.1631506847916,3,490071.9383532825
2025-12-31,494300.9670735286,-880.7031506851781,3,489191.23520259745
2026-01-02,494380.5739228434,79.60684931487776,3,489270.8420519122
2026-01-06,499931.506849315,-68.49315068493152,4,489270.8420519122
2026-01-07,500686.0716632499,754.5648139348486,4,490025.4068658471
2026-01-08,499759.2756130121,-926.7960502377246,4,489098.6108156093
2026-01-09,499937.6716825387,178.3960695265559,4,489277.0068851359
2026-01-12,496851.2363683726,-3086.435314166127,4,486190.5715709698
2026-01-13,496481.9954259023,-369.2409424702637,4,485821.3306284995
2026-01-14,495483.2446999834,-998.7507259189151,4,484822.5799025806
2026-01-15,497278.3367444997,1795.09204451635,4,486617.6719470969
2026-01-16,498332.6557583123,1054.319013812579,4,487671.9909609095
2026-01-20,500524.1981911982,2191.54243288585,4,489863.53339379537
2026-01-21,503889.948113917,3365.749922718853,4,493229.2833165142
2026-01-22,504759.0715868594,869.1234729423886,4,494098.4067894566
2026-01-23,505911.5588682608,1152.487281401409,4,495250.894070858
2026-01-26,502493.2027743062,-3418.356093954644,4,491832.5379769034
2026-01-27,501295.7850780743,-1197.41769623186,4,490635.1202806715
2026-01-28,500957.7151726109,-338.0699054633733,4,490297.0503752081
2026-01-29,501307.17714291,349.4619702990167,4,490646.5123455072
2026-01-30,498422.142333624,-2885.034809286008,4,487761.4775362212
2026-02-02,498472.8903061597,50.74797253578436,4,487812.2255087569
2026-02-03,497160.5419850805,-1312.348321079277,4,486499.8771876777
2026-02-04,496856.0552742082,-304.4867108722683,4,486195.3904768054
2026-02-05,497404.0914399122,548.0361657040194,4,486743.4266425094
2026-02-06,497168.0024362381,-236.0890036741039,4,486507.3376388353
2026-02-09,498897.751268473,1729.74883223488,4,488237.0864710702
2026-02-10,498975.4681177881,77.71684931509662,4,488314.8033203853
2026-02-11,499886.9649671032,911.4968493151246,4,489226.3001697004
2026-02-13,499931.506849315,-68.49315068493152,5,489226.3001697004
2026-02-17,499863.01369863,-68.49315068498254,5,489157.80701901537
2026-02-18,499794.5205479449,-68.49315068509895,5,489089.31386833027
2026-02-19,499886.4770003865,91.9564524415182,5,489181.2703207719
2026-02-20,499174.9753783508,-711.5016220356338,5,488469.7686987362
2026-02-23,500948.3795820299,1773.404203679063,5,490243.1729024153
2026-02-24,501521.8069808226,573.4273987927008,5,490816.600301208
2026-02-25,501023.2476682863,-498.5593125362648,5,490318.0409886717
2026-02-26,500102.7204059599,-920.5272623264464,5,489397.51372634526
2026-02-27,500829.491276737,726.7708707770798,5,490124.2845971224
2026-03-02,499160.7193368191,-1668.771939917817,5,488455.51265720447
2026-03-03,497645.1039422678,-1515.615394551307,5,486939.89726265316
2026-03-04,497485.3306254727,-159.7733167951228,5,486780.1239458581
2026-03-05,497695.0266676843,209.6960422116099,5,486989.8199880697
2026-03-06,497803.3800346316,108.3533669472672,5,487098.173355017
2026-03-09,497745.153735332,-58.22629929962568,5,487039.9470557174
2026-03-10,497346.680584647,-398.4731506849639,5,486641.4739050324
2026-03-11,497485.7374339619,139.0568493149476,5,486780.5307543473
2026-03-12,497624.444283277,138.7068493150873,5,486919.23760366236
2026-03-13,497358.2011325922,-266.2431506848661,5,486652.9944529776
2026-03-16,495917.9479819072,-1440.253150684992,5,485212.74130229256
2026-03-17,495602.2848312223,-315.663150684908,5,484897.0781516077
2026-03-18,496131.9616805373,529.6768493150594,5,485426.7550009227
2026-03-19,495261.6785298523,-870.2831506850198,5,484556.4718502377
2026-03-20,494366.1753791673,-895.5031506849919,5,483660.9686995527
2026-03-23,493641.0622284826,-725.113150684745,5,482935.855548868
2026-03-25,499931.506849315,-68.49315068493152,6,482935.855548868
2026-03-26,500385.42369863,453.9168493149336,6,483389.772398183
2026-03-27,500497.6105479448,112.1868493148359,6,483501.9592474978
2026-03-30,500437.3873972603,-60.22315068449825,6,483441.7360968133
2026-03-31,499747.934246575,-689.4531506852945,6,482752.282946128
2026-04-01,500436.4310958902,688.496849315241,6,483440.7797954432
2026-04-02,500437.9179452051,1.48684931488242,6,483442.2666447581
2026-04-06,499472.4647945201,-965.4531506850617,6,482476.8134940731
2026-04-07,498525.5716438349,-946.8931506851222,6,481529.9203433879
2026-04-08,498418.3984931501,-107.1731506848009,6,481422.7471927031
2026-04-09,498478.6853424652,60.2868493150454,6,481483.0340420182
2026-04-10,502244.5521917804,3765.866849315236,6,485248.9008913334
2026-04-13,503226.1190410954,981.5668493149569,6,486230.46774064837
2026-04-14,502868.0858904105,-358.0331506849034,6,485872.4345899635
2026-04-15,502799.5927397255,-68.49315068498254,6,485803.9414392785
2026-04-16,502577.2495890404,-222.3431506850757,6,485581.5982885934
2026-04-17,502921.4264383554,344.176849314943,6,485925.7751379084
2026-04-20,502575.5532876705,-345.8731506848708,6,485579.9019872235
2026-04-21,502507.0601369855,-68.49315068498254,6,485511.4088365385
2026-04-22,502438.5669863005,-68.49315068498254,6,485442.9156858535
2026-04-23,505434.5738356153,2996.006849314785,6,488438.9225351683
2026-04-24,506170.1506849306,735.5768493153155,6,489174.4993844836
2026-04-27,505838.2375342455,-331.9131506851409,6,488842.5862337985
2026-04-28,506019.9343835606,181.696849315078,6,489024.2830831136
2026-04-29,504406.0212328754,-1613.913150685141,6,487410.3699324284
2026-04-30,508419.0780821905,4013.056849315064,6,491423.4267817435
