pair_key,s1,s2,param_set,pair_pnl,pair_sharpe,run_sharpe,dsr_pvalue,n_trades,window_idx,train_end
GLW/CSGP,GLW,CSGP,aggressive,-1423.35072033148,-0.10293074664934945,0.3958758817034573,6.389437666008325e-09,28,1,2025-11-04
GLW/FOXA,GLW,FOXA,aggressive,7767.870247231082,1.0389869565036818,0.3958758817034573,1.0,30,1,2025-11-04
AMAT/FOX,AMAT,FOX,aggressive,7267.61252593568,0.8392143692218542,0.3958758817034573,0.9999999999999999,30,1,2025-11-04
AMAT/FISV,AMAT,FISV,aggressive,22036.85142057345,1.4646384740468399,0.3958758817034573,0.9992613708269521,30,1,2025-11-04
LRCX/ICE,LRCX,ICE,aggressive,8485.21452226465,1.0706609088087056,0.3958758817034573,1.0,26,1,2025-11-04
LRCX/BR,LRCX,BR,aggressive,2566.185032450197,0.3465302222648475,0.3958758817034573,0.999895248352937,34,1,2025-11-04
TER/CME,TER,CME,aggressive,7985.228353895563,0.6166414592919188,0.3958758817034573,0.9999999954618345,36,1,2025-11-04
TER/KKR,TER,KKR,aggressive,6689.925713196969,0.5754825254850324,0.3958758817034573,0.9999939022052555,28,1,2025-11-04
CAT/ADBE,CAT,ADBE,aggressive,11056.15584896489,1.3869875149244981,0.3958758817034573,0.9999999992085877,34,1,2025-11-04
CAT/PTC,CAT,PTC,aggressive,-1985.956201290037,-0.3753505418500321,0.3958758817034573,1.8305554863091438e-10,28,1,2025-11-04
KMX/CPRT,KMX,CPRT,aggressive,-760.660000000003,-0.17447966954906508,0.3958758817034573,9.032436730724887e-09,28,1,2025-11-04
KMX/NDAQ,KMX,NDAQ,aggressive,10025.48945258744,1.7233951887976253,0.3958758817034573,1.0,32,1,2025-11-04
LLY/NKE,LLY,NKE,aggressive,-5866.739985823911,-0.849067138230021,0.3958758817034573,7.633823489444314e-19,26,1,2025-11-04
LLY/CBOE,LLY,CBOE,aggressive,-8034.047646963932,-1.368523454158885,0.3958758817034573,1.3001661939068529e-27,30,1,2025-11-04
CVS/BX,CVS,BX,aggressive,-19713.09180330415,-1.6867900524524406,0.3958758817034573,1.6637075865154452e-06,34,1,2025-11-04
GLW/CSGP,GLW,CSGP,let_profits_run,1121.840858139579,0.42640863226525366,0.1567227859172115,0.9999404732983002,8,1,2025-11-04
GLW/FOXA,GLW,FOXA,let_profits_run,-112.6868889147747,-0.11730205664515007,0.1567227859172115,0.00010915554164416632,2,1,2025-11-04
AMAT/FOX,AMAT,FOX,let_profits_run,8964.556672331506,1.040657028863062,0.1567227859172115,0.9999998758352384,6,1,2025-11-04
AMAT/FISV,AMAT,FISV,let_profits_run,5421.081301810832,0.7258665946950602,0.1567227859172115,0.9999497508746249,14,1,2025-11-04
LRCX/ICE,LRCX,ICE,let_profits_run,5276.073634192858,1.850976529916419,0.1567227859172115,0.999999998819318,6,1,2025-11-04
LRCX/BR,LRCX,BR,let_profits_run,2954.126671118482,1.55206739165385,0.1567227859172115,0.9999998710854304,6,1,2025-11-04
TER/CME,TER,CME,let_profits_run,2293.042318832029,0.5688416111051019,0.1567227859172115,0.9999999826504509,12,1,2025-11-04
TER/KKR,TER,KKR,let_profits_run,2919.989999999998,1.1259730974794797,0.1567227859172115,0.9991110290951201,2,1,2025-11-04
CAT/ADBE,CAT,ADBE,let_profits_run,2433.03502657011,1.3865557426184902,0.1567227859172115,1.0,6,1,2025-11-04
CAT/PTC,CAT,PTC,let_profits_run,933.069454921456,0.6001123303959733,0.1567227859172115,0.9927513825023855,2,1,2025-11-04
KMX/CPRT,KMX,CPRT,let_profits_run,115.3800000000009,0.24617898416530729,0.1567227859172115,0.9887091982745367,2,1,2025-11-04
KMX/NDAQ,KMX,NDAQ,let_profits_run,-404.9271874725416,-0.24322422171366637,0.1567227859172115,6.50922432224168e-16,6,1,2025-11-04
LLY/NKE,LLY,NKE,let_profits_run,-597.9047824747431,-0.5223839214247471,0.1567227859172115,6.433207056242914e-07,8,1,2025-11-04
LLY/CBOE,LLY,CBOE,let_profits_run,-2030.770019973635,-0.6419929102301787,0.1567227859172115,9.579019442720443e-09,10,1,2025-11-04
CVS/BX,CVS,BX,let_profits_run,-610.6678274314123,-0.20326899596765463,0.1567227859172115,4.622950550175237e-09,8,1,2025-11-04
GLW/CSGP,GLW,CSGP,monthly_aligned_windows,2447.059280330895,0.725442426560812,0.152405900813461,0.9999976669725564,24,1,2025-11-04
GLW/FOXA,GLW,FOXA,monthly_aligned_windows,4593.680999272353,1.4458715070873298,0.152405900813461,0.999999999999999,24,1,2025-11-04
AMAT/FOX,AMAT,FOX,monthly_aligned_windows,9900.98757474827,1.1999021414294462,0.152405900813461,0.9999999986108568,24,1,2025-11-04
AMAT/FISV,AMAT,FISV,monthly_aligned_windows,5855.714751809694,0.656829913049613,0.152405900813461,0.9999957179141802,24,1,2025-11-04
LRCX/ICE,LRCX,ICE,monthly_aligned_windows,-1111.234473976138,-0.27082237583135566,0.152405900813461,8.384379943485026e-14,24,1,2025-11-04
LRCX/BR,LRCX,BR,monthly_aligned_windows,4934.049229653151,0.7851028816046868,0.152405900813461,0.9999999592452404,24,1,2025-11-04
TER/CME,TER,CME,monthly_aligned_windows,-2414.773498856274,-1.0681663230619522,0.152405900813461,1.6515756566379075e-25,24,1,2025-11-04
TER/KKR,TER,KKR,monthly_aligned_windows,6577.782603277945,1.3580667759187404,0.152405900813461,0.9999999982072646,22,1,2025-11-04
CAT/ADBE,CAT,ADBE,monthly_aligned_windows,3167.771711096812,0.7987752630127997,0.152405900813461,0.9998857325329261,24,1,2025-11-04
CAT/PTC,CAT,PTC,monthly_aligned_windows,-534.2768214810716,-0.20886273174239686,0.152405900813461,3.5011549717292675e-17,22,1,2025-11-04
KMX/CPRT,KMX,CPRT,monthly_aligned_windows,85.35999999999751,0.05961685837703319,0.152405900813461,0.1609914906822396,22,1,2025-11-04
KMX/NDAQ,KMX,NDAQ,monthly_aligned_windows,-2176.494138312979,-0.6617086679013019,0.152405900813461,1.0096718427416494e-15,24,1,2025-11-04
LLY/NKE,LLY,NKE,monthly_aligned_windows,1140.846083439181,0.3656162227775203,0.152405900813461,0.9999961301781581,22,1,2025-11-04
LLY/CBOE,LLY,CBOE,monthly_aligned_windows,-4343.217454363199,-0.9010626856113165,0.152405900813461,6.409879800721202e-09,24,1,2025-11-04
CVS/BX,CVS,BX,monthly_aligned_windows,1410.464131171245,0.17042007637617831,0.152405900813461,0.8605400445048625,24,1,2025-11-04
GLW/CSGP,GLW,CSGP,short_term_beta_neutral,3632.512646454314,1.550482201376708,-0.0126433005188363,0.9999999998803636,16,1,2025-11-04
GLW/FOXA,GLW,FOXA,short_term_beta_neutral,1474.39863442966,0.5276370492641231,-0.0126433005188363,0.9999884741702578,8,1,2025-11-04
AMAT/FOX,AMAT,FOX,short_term_beta_neutral,-2825.433615990045,-0.8075717215733733,-0.0126433005188363,5.959926324912877e-06,11,1,2025-11-04
AMAT/FISV,AMAT,FISV,short_term_beta_neutral,2587.273997455232,0.7690789771197608,-0.0126433005188363,0.999999999664937,18,1,2025-11-04
LRCX/ICE,LRCX,ICE,short_term_beta_neutral,4677.873455601448,1.7166581037926392,-0.0126433005188363,0.9999999997618757,18,1,2025-11-04
LRCX/BR,LRCX,BR,short_term_beta_neutral,3456.52271084355,1.4578718635719838,-0.0126433005188363,0.9999999999942055,16,1,2025-11-04
TER/CME,TER,CME,short_term_beta_neutral,1512.380574288139,0.5221633097113817,-0.0126433005188363,0.9999976805415509,24,1,2025-11-04
TER/KKR,TER,KKR,short_term_beta_neutral,4581.163041389477,1.041734956875976,-0.0126433005188363,0.9998097404962722,16,1,2025-11-04
CAT/ADBE,CAT,ADBE,short_term_beta_neutral,3398.655421776468,1.5542282375108267,-0.0126433005188363,0.9999999999977437,16,1,2025-11-04
CAT/PTC,CAT,PTC,short_term_beta_neutral,3291.160601257461,1.5714629002142204,-0.0126433005188363,0.9999999999653438,10,1,2025-11-04
KMX/CPRT,KMX,CPRT,short_term_beta_neutral,-117.6000000000005,-0.23894228135259207,-0.0126433005188363,1.2966650000379544e-05,6,1,2025-11-04
KMX/NDAQ,KMX,NDAQ,short_term_beta_neutral,1962.581167708914,1.2510164427462087,-0.0126433005188363,0.9998588347316296,8,1,2025-11-04
LLY/NKE,LLY,NKE,short_term_beta_neutral,-4021.123372642942,-1.3778104898773627,-0.0126433005188363,1.5182491108544664e-05,17,1,2025-11-04
LLY/CBOE,LLY,CBOE,short_term_beta_neutral,1934.683379049395,0.44927443407290146,-0.0126433005188363,0.9994777387659055,11,1,2025-11-04
CVS/BX,CVS,BX,short_term_beta_neutral,-119.3980302193706,-0.04619025469968314,-0.0126433005188363,0.0009782973133617746,27,1,2025-11-04
GLW/CSGP,GLW,CSGP,crash_tolerant,3480.243366454657,0.9230046332494053,-0.1025656161481046,0.9999999945048287,14,1,2025-11-04
GLW/FOXA,GLW,FOXA,crash_tolerant,203.1940274058043,0.11304852122800672,-0.1025656161481046,0.540361661540322,2,1,2025-11-04
AMAT/FOX,AMAT,FOX,crash_tolerant,-4660.372416457868,-1.1111208312363057,-0.1025656161481046,5.3627309395209265e-11,8,1,2025-11-04
