Date,OOS_Equity,OOS_DailyPnL,Window,n_pairs,OOS_Equity_Chained
2025-10-03,499931.5068493153,-68.4931506846915,1,14,499931.5068493153
2025-10-06,504682.5614361428,4751.054586827464,1,14,504682.5614361428
2025-10-07,499074.2826145469,-5608.278821595886,1,14,499074.2826145469
2025-10-08,495187.9204922651,-3886.3621222818037,1,14,495187.9204922651
2025-10-09,494685.9873415803,-501.93315068481024,1,14,494685.9873415803
2025-10-10,491686.2041908953,-2999.7831506849616,1,14,491686.2041908953
2025-10-13,491257.1910402102,-429.0131506851176,1,14,491257.1910402102
2025-10-14,490574.3613554345,-682.8296847756719,1,14,490574.3613554345
2025-10-15,492875.5174661132,2301.156110678683,1,14,492875.5174661132
2025-10-16,493784.17863361,908.6611674968153,1,14,493784.17863361
2025-10-17,496452.7367928037,2668.5581591936643,1,14,496452.7367928037
2025-10-20,500292.6394582751,3839.9026654714253,1,14,500292.6394582751
2025-10-21,498002.7456985057,-2289.8937597693875,1,14,498002.7456985057
2025-10-22,495195.255838545,-2807.4898599607404,1,14,495195.255838545
2025-10-23,491237.8520244063,-3957.40381413867,1,14,491237.8520244063
2025-10-24,490520.8388737212,-717.0131506851176,1,14,490520.8388737212
2025-10-27,490590.8457230362,70.00684931501746,1,14,490590.8457230362
2025-10-28,492570.6745997753,1979.8288767390768,1,14,492570.6745997753
2025-10-29,495907.9038909923,3337.229291216994,1,14,495907.9038909923
2025-10-30,527298.7780174867,31390.874126494396,1,14,527298.7780174867
2025-10-31,525365.8077071542,-1932.9703103324864,1,14,525365.8077071542
2025-11-03,531500.1604232662,6134.352716112044,1,14,531500.1604232662
2025-11-04,534175.2872725814,2675.126849315129,1,14,534175.2872725814
2025-11-05,529188.8341218967,-4986.453150684712,1,14,529188.8341218967
2025-11-06,531242.4009712115,2053.5668493148405,1,14,531242.4009712115
2025-11-07,516564.1978205263,-14678.203150685178,1,14,516564.1978205263
2025-11-11,499931.5068493151,-68.49315068492433,2,14,516564.1978205263
2025-11-12,500209.3120447733,277.80519545823336,2,14,516842.00301598455
2025-11-13,508346.3664049326,8137.054360159265,2,14,524979.0573761438
2025-11-14,508634.2959159915,287.92951105890097,2,14,525266.9868872027
2025-11-17,511513.6195048445,2879.3235888530035,2,14,528146.3104760557
2025-11-18,512171.7355284465,658.1160236020223,2,14,528804.4264996578
2025-11-19,516035.0996871641,3863.3641587176244,2,14,532667.7906583754
2025-11-20,515556.748967424,-478.35071974014863,2,14,532189.4399386352
2025-11-21,515714.4136050147,157.6646375907003,2,14,532347.1045762259
2025-11-24,514477.0590386554,-1237.3545663592522,2,14,531109.7500098667
2025-11-25,514023.0859781021,-453.97306055331137,2,14,530655.7769493134
2025-11-26,510455.1393810967,-3567.9465970054152,2,14,527087.830352308
2025-11-28,508148.6397343285,-2306.4996467682067,2,14,524781.3307055398
2025-12-01,511856.2313746555,3707.5916403270094,2,14,528488.9223458667
2025-12-02,509593.2582239705,-2262.973150685022,2,14,526225.9491951817
2025-12-03,508337.9150732853,-1255.343150685192,2,14,524970.6060444965
2025-12-04,503594.6119226004,-4743.303150684864,2,14,520227.30289381166
