Date,Equity,DailyPnL,Window,Equity_Chained
2025-09-30,499931.5068493148,-68.49315068493152,1,499931.5068493148
2025-10-01,494398.9217434996,-5532.585105815204,1,494398.9217434996
2025-10-02,496167.8865266273,1768.964783127769,1,496167.8865266273
2025-10-03,490440.1033502202,-5727.783176407102,1,490440.1033502202
2025-10-06,494013.5031789562,3573.399828735972,1,494013.5031789562
2025-10-07,491058.8392652042,-2954.663913752069,1,491058.8392652042
2025-10-08,495054.338789806,3995.499524601852,1,495054.338789806
2025-10-09,492172.6093451853,-2881.729444620665,1,492172.6093451853
2025-10-10,493819.710477873,1647.101132687647,1,493819.710477873
2025-10-13,495412.0491210325,1592.338643159484,1,495412.0491210325
2025-10-14,493507.0649705299,-1904.984150502598,1,493507.0649705299
2025-10-15,495727.0237365541,2219.95876602421,1,495727.0237365541
2025-10-16,493410.7593736176,-2316.26436293649,1,493410.7593736176
2025-10-17,493068.9868878149,-341.7724858026486,1,493068.9868878149
2025-10-20,491916.8304446067,-1152.156443208223,1,491916.8304446067
2025-10-21,489026.6572939216,-2890.17315068515,1,489026.6572939216
2025-10-22,487831.4941432367,-1195.163150684908,1,487831.4941432367
2025-10-23,487330.6309925513,-500.8631506853271,1,487330.6309925513
2025-10-24,485281.8178418663,-2048.813150685048,1,485281.8178418663
2025-10-27,487427.1646911814,2145.346849315101,1,487427.1646911814
2025-10-28,487846.0615404964,418.8968493150314,1,487846.0615404964
2025-10-29,488777.3085938594,931.2470533630112,1,488777.3085938594
2025-10-30,496407.6386807275,7630.330086868023,1,496407.6386807275
2025-10-31,495676.9635173096,-730.6751634178218,1,495676.9635173096
2025-11-03,503762.7773989459,8085.813881636248,1,503762.7773989459
2025-11-04,495089.8042482609,-8672.973150684964,1,495089.8042482609
2025-11-06,499931.5068493151,-68.49315068493152,2,495089.8042482609
2025-11-07,490417.3426001543,-9514.164249160793,2,485575.6399991001
2025-11-10,496848.3254061255,6430.982805971173,2,492006.62280507135
2025-11-11,495293.5019702913,-1554.82343583426,2,490451.79936923715
2025-11-12,496811.1996917779,1517.697721486678,2,491969.4970907237
2025-11-13,505575.1761292078,8763.976437429897,2,500733.4735281536
2025-11-14,507133.0350556959,1557.858926488087,2,502291.33245464176
2025-11-17,514091.6005735627,6958.565517866751,2,509249.89797250857
2025-11-18,513892.2963240745,-199.3042494881665,2,509050.59372302034
2025-11-19,516805.2554874797,2912.959163405234,2,511963.5528864255
2025-11-20,519701.4093732981,2896.153885818319,2,514859.70677224395
2025-11-21,500422.4455772176,-19278.96379608044,2,495580.74297616346
2025-11-24,507728.1576011821,7305.712023964501,2,502886.45500012796
2025-11-25,502459.6007626443,-5268.556838537799,2,497617.89816159016
2025-11-26,501416.3377995177,-1043.262963126646,2,496574.63519846357
2025-11-28,503232.6409310515,1816.303131533787,2,498390.93832999736
2025-12-01,493799.4710117306,-9433.169919320848,2,488957.76841067645
2025-12-02,486612.6030246996,-7186.867987031001,2,481770.90042364545
2025-12-03,478779.8770743043,-7832.725950395339,2,473938.17447325017
2025-12-04,483204.0139236194,4424.136849315139,2,478362.31132256525
2025-12-05,484300.2107729343,1096.196849314845,2,479458.50817188015
2025-12-08,479763.1976222494,-4537.013150684885,2,474921.49502119527
2025-12-09,478325.3344715644,-1437.863150684978,2,473483.63187051023
2025-12-10,472272.9613208794,-6052.373150684987,2,467431.25871982524
2025-12-11,465583.0781701944,-6689.883150684997,2,460741.37556914025
2025-12-12,459512.4850195092,-6070.593150685192,2,454670.78241845506
2025-12-16,499931.5068493148,-68.49315068493152,3,454670.78241845506
2025-12-17,499996.5736986297,65.06684931495693,3,454735.84926776995
2025-12-18,500460.580547945,464.0068493152503,3,455199.85611708526
2025-12-19,501451.6673972602,991.0868493152084,3,456190.9429664005
2025-12-22,501177.2681799559,-274.399217304308,3,455916.54374909616
2025-12-23,501677.2483047979,499.9801248420263,3,456416.5238739382
2025-12-24,500077.7803074389,-1599.467997358995,3,454817.0558765792
2025-12-26,499483.9956701985,-593.7846372404601,3,454223.2712393388
2025-12-29,499521.3258227196,37.33015252114274,3,454260.6013918599
2025-12-30,499504.2422826455,-17.0835400740616,3,454243.51785178576
2025-12-31,500475.602279291,971.3599966454785,3,455214.8778484313
2026-01-02,505500.5191286063,5024.916849315283,3,460239.7946977466
