pair_key,s1,s2,param_set,pair_pnl,pair_sharpe,run_sharpe,dsr_pvalue,n_trades,window_idx,train_end
PFG/YUM,PFG,YUM,medium_signal_high_leverage,18781.74725214635,1.268709917123777,1.4558695131047452,0.9999999998853355,48,1,2025-09-17
MSCI/MTB,MSCI,MTB,medium_signal_high_leverage,3148.193095835042,0.23349583255212736,1.4558695131047452,0.994552491995734,38,1,2025-09-17
PFG/WMT,PFG,WMT,medium_signal_high_leverage,-12443.10191035005,-0.7822350740119818,1.4558695131047452,6.682528477379354e-19,54,1,2025-09-17
CL/WST,CL,WST,medium_signal_high_leverage,19349.19015477411,1.678525253992481,1.4558695131047452,0.9999999999927618,36,1,2025-09-17
ALB/YUM,ALB,YUM,medium_signal_high_leverage,10535.38781595089,0.47513640733304935,1.4558695131047452,0.9999867227271155,42,1,2025-09-17
HAS/PFE,HAS,PFE,medium_signal_high_leverage,-4208.421891012398,-0.21634915046900363,1.4558695131047452,4.8672345212972754e-15,50,1,2025-09-17
AMT/TJX,AMT,TJX,medium_signal_high_leverage,-9220.051822590161,-0.7054888646533732,1.4558695131047452,2.685429408956673e-28,60,1,2025-09-17
F/PG,F,PG,medium_signal_high_leverage,12864.08270149012,0.8490336946970466,1.4558695131047452,0.9999999999939406,56,1,2025-09-17
CI/LVS,CI,LVS,medium_signal_high_leverage,-21322.79287416305,-0.7888311043580382,1.4558695131047452,4.955299249057288e-07,46,1,2025-09-17
LNT/MKTX,LNT,MKTX,medium_signal_high_leverage,-1937.733798573034,-0.12580118840057591,1.4558695131047452,8.432548545766539e-06,44,1,2025-09-17
GRMN/KO,GRMN,KO,medium_signal_high_leverage,17136.4854958816,0.996129175888885,1.4558695131047452,0.9999994958537163,40,1,2025-09-17
GIS/HUBB,GIS,HUBB,medium_signal_high_leverage,1928.013462227033,0.152687348441681,1.4558695131047452,0.7715260117526288,52,1,2025-09-17
ETR/MKTX,ETR,MKTX,medium_signal_high_leverage,70086.649426484,1.3632740874763998,1.4558695131047452,0.9891860526595128,48,1,2025-09-17
