Date,OOS_Equity,OOS_DailyPnL,Window,n_pairs,OOS_Equity_Chained
2025-08-11,499931.506849315,-68.49315068498254,1,15,499931.506849315
2025-08-12,500252.8636986299,321.35684931487776,1,15,500252.8636986299
2025-08-13,499431.8105479452,-821.0531506846892,1,15,499431.8105479452
2025-08-14,500131.0554734917,699.2449255465181,1,15,500131.0554734917
2025-08-15,499457.4723228068,-673.5831506849499,1,15,499457.4723228068
2025-08-18,494515.3191721218,-4942.153150684957,1,15,494515.3191721218
2025-08-19,494509.0560214368,-6.263150685001165,1,15,494509.0560214368
2025-08-20,494489.8428707517,-19.21315068512922,1,15,494489.8428707517
2025-08-21,494157.9897200667,-331.85315068496857,1,15,494157.9897200667
2025-08-22,496162.6365693818,2004.6468493150896,1,15,496162.6365693818
2025-08-25,496094.1434186967,-68.49315068509895,1,15,496094.1434186967
2025-08-26,495671.5402680119,-422.60315068479395,1,15,495671.5402680119
2025-08-27,495303.2871173267,-368.2531506852247,1,15,495303.2871173267
2025-08-28,494954.3539666422,-348.9331506845192,1,15,494954.3539666422
2025-08-29,497093.8019018971,2139.4479352549533,1,15,497093.8019018971
2025-09-02,493908.0957990366,-3185.7061028605094,1,15,493908.0957990366
2025-09-03,494355.6926483517,447.5968493151013,1,15,494355.6926483517
2025-09-04,493207.5294976665,-1148.163150685199,1,15,493207.5294976665
2025-09-05,493892.6963469819,685.1668493153993,1,15,493892.6963469819
2025-09-08,490894.5331962964,-2998.16315068549,1,15,490894.5331962964
2025-09-09,491254.5252500619,359.99205376545433,1,15,491254.5252500619
2025-09-10,494036.4706511447,2781.945401082805,1,15,494036.4706511447
2025-09-11,494132.0375004596,95.56684931489872,1,15,494132.0375004596
2025-09-12,497414.1620262411,3282.124525781488,1,15,497414.1620262411
2025-09-16,499931.506849315,-68.49315068498254,2,15,497414.1620262411
2025-09-17,501391.1724795555,1459.665630240459,2,15,498873.82765648153
2025-09-18,501187.4808524882,-203.69162706728093,2,15,498670.13602941425
2025-09-19,502496.4658728861,1308.9850203979295,2,15,499979.1210498122
2025-09-22,503915.706466441,1419.2405935548595,2,15,501398.36164336704
2025-09-23,503737.4578160993,-178.24865034170216,2,15,501220.11299302534
2025-09-24,505000.8646654146,1263.4068493153318,2,15,502483.51984234067
2025-09-25,506023.7541819653,1022.8895165506983,2,15,503506.40935889137
2025-09-26,505589.5441849248,-434.20999704051064,2,15,503072.19936185086
2025-09-29,504780.1510342399,-809.3931506848894,2,15,502262.80621116597
2025-09-30,505259.4778835549,479.32684931496624,2,15,502742.13306048093
2025-10-01,503525.9297875302,-1733.5480960246641,2,15,501008.58496445627
2025-10-02,503312.5830933327,-213.3466941975057,2,15,500795.23827025876
2025-10-03,503166.5044824934,-146.0786108393222,2,15,500649.15965941944
2025-10-06,503253.1878665129,86.68338401953224,2,15,500735.843043439
2025-10-07,504359.495656702,1106.3077901891083,2,15,501842.1508336281
2025-10-08,502959.5828299242,-1399.9128267778433,2,15,500442.23800685024
2025-10-09,501511.5615095736,-1448.0213203505846,2,15,498994.21668649965
2025-10-10,501981.6516750839,470.090165510308,2,15,499464.30685200996
2025-10-13,507819.6260668156,5837.974391731666,2,15,505302.2812437416
2025-10-14,509125.1129161306,1305.4868493149988,2,15,506607.7680930566
2025-10-15,508838.669765446,-286.4431506845867,2,15,506321.32494237204
2025-10-16,511335.8866147607,2497.216849314689,2,15,508818.54179168673
2025-10-17,511740.033464076,404.14684931532247,2,15,509222.68864100205
2025-10-21,499931.506849315,-68.49315068498254,3,15,509222.68864100205
2025-10-22,499831.6131748565,-99.89367445849348,3,15,509122.79496654356
2025-10-23,503787.5513667823,3955.9381919257576,3,15,513078.7331584693
2025-10-24,505196.0144376571,1408.463070874801,3,15,514487.1962293441
