Pair,OOS_PnL,Sharpe,MaxDD,MaxDD_pct,WinRate,N_Trades,Turnover,N_Days
MTCH/NVR,14070.30131327768,2.7226490102095378,-1712.5200000000084,-0.0034250400000000168,0.6136363636363636,30,90798.0,144
AMT/TJX,10101.645836647416,2.94473336657171,-2194.2192776610955,-0.004388438555322191,0.6122448979591837,21,25329.0,144
ALB/YUM,9454.050000000025,1.5483892908599215,-4111.779999999995,-0.008223559999999991,0.6428571428571429,7,8401.0,144
CL/WST,8659.187998514983,1.3248196955971332,-4748.242651195818,-0.009496485302391637,0.48717948717948717,25,36314.0,144
GIS/HUBB,2831.457244701351,1.6054469418517145,-294.1199999999985,-0.000588239999999997,0.75,3,5884.0,144
CI/LVS,2066.560476656885,0.5839850409318275,-4327.0029285014625,-0.008654005857002925,0.5625,7,14860.0,96
MSCI/MTB,68.65455644402346,0.0206824383526269,-4414.715443555967,-0.008829430887111933,0.5333333333333333,9,5077.0,144
F/PG,-756.1279601227084,-0.3339465437726535,-2630.3200000000024,-0.005260640000000005,0.47058823529411764,8,46994.0,144
PFG/WMT,-1199.8000000000045,-0.9015933953098308,-2521.9200000000064,-0.005043840000000013,0.38461538461538464,5,8622.0,48
HAS/PFE,-3163.962885533064,-1.3449036797052467,-3667.1876091954027,-0.007334375218390805,0.4166666666666667,6,25098.0,144
PFG/YUM,-6126.635504373988,-2.2402011918630267,-7657.768032495247,-0.015315536064990495,0.3548387096774194,15,26553.0,144
PFE/PSX,-6273.11905009053,-1.033072177167966,-7941.093885339596,-0.015882187770679193,0.4838709677419355,21,94540.0,144
MKTX/WST,-7071.274979129183,-1.4970680672270382,-11186.120527724204,-0.022372241055448407,0.4411764705882353,18,16453.0,144
GRMN/KO,-16894.88001512533,-2.8093898655493286,-18134.203748896412,-0.03626840749779282,0.38235294117647056,18,29956.0,144
ETR/MKTX,-18532.179999999993,-3.6677174170386495,-18532.18,-0.03706436,0.058823529411764705,8,13821.0,144
