Pair,OOS_PnL,Sharpe,MaxDD,MaxDD_pct,WinRate,N_Trades,Turnover,N_Days
AMT/TJX,9604.922906062056,2.926786685612644,-2234.190000000014,-0.004468380000000029,0.627906976744186,23,27077.0,144
CL/WST,7958.558525104094,1.2436186779047478,-4636.120795458561,-0.009272241590917121,0.46875,22,32835.0,144
MTCH/NVR,7275.21408293903,1.7421682334676225,-2807.740000000029,-0.005615480000000058,0.5869565217391305,33,95168.0,144
GIS/HUBB,4618.3527821973,2.307621333290514,0.0,0.0,1.0,3,7964.0,144
CI/LVS,3588.1701605104463,1.0166186260085541,-5001.5547121633945,-0.010003109424326789,0.5714285714285714,8,15927.0,96
ETR/MKTX,2172.5752797060018,1.2263240375134072,-1249.2599999999989,-0.0024985199999999976,0.5,6,6140.0,144
PFG/WMT,2031.8519399271988,0.5563663757744726,-6445.285180499728,-0.012890570360999457,0.53125,13,23762.0,96
F/PG,1310.1384509202417,0.7978198833115869,-2108.9500000000007,-0.004217900000000002,0.5384615384615384,8,40402.0,144
MSCI/MTB,-617.3230109882529,-0.22384229608870668,-3149.683010988253,-0.006299366021976506,0.5294117647058824,11,6317.0,144
BALL/SBUX,-2691.7231446687374,-0.7252750787635367,-6868.511419657567,-0.013737022839315135,0.546875,38,57436.0,144
GLW/WST,-3078.4294265381022,-0.54956229911074,-12294.492156072021,-0.02458898431214404,0.5555555555555556,10,13772.0,144
MKTX/WST,-4285.069447023156,-0.9514400279853102,-9698.227132759059,-0.01939645426551812,0.45454545454545453,18,16257.0,144
PFG/YUM,-6773.308737460219,-2.571584298825395,-8351.31,-0.016702619999999998,0.3448275862068966,12,21282.0,144
PFE/PSX,-8313.22864552831,-1.4534472996272134,-9410.113480777356,-0.018820226961554713,0.5555555555555556,19,82698.0,144
GRMN/KO,-10188.512426824029,-2.1840347216894673,-12795.875666744281,-0.025591751333488563,0.41025641025641024,17,28747.0,144
