Pair,OOS_PnL,Sharpe,MaxDD,MaxDD_pct,WinRate,N_Trades,Turnover,N_Days
FSLR/RSG,14385.407314751883,1.86580813746227,-2895.8799999999937,-0.005791759999999988,0.5945945945945946,18,11839.0,144
GPN/PTC,5317.925733169632,1.2652024327599263,-3616.025000000007,-0.007232050000000014,0.6486486486486487,17,31728.0,144
VTRS/YUM,4401.564055811533,1.315439009063196,-3652.0744067796613,-0.007304148813559322,0.5833333333333334,10,75751.0,72
BSX/WMB,4241.030634038492,1.1347459984792376,-1650.6489071001101,-0.00330129781420022,0.5,6,12788.0,144
HRL/MKC,3901.212710743204,0.7356943897998028,-5568.329135136742,-0.011136658270273483,0.5510204081632653,25,140856.0,144
AME/WMT,3322.459999999998,1.0946092036360842,-2241.450000000005,-0.004482900000000009,0.631578947368421,4,5182.0,144
CSCO/PAYC,3273.590929038874,0.6264055852094219,-5058.0500000000075,-0.010116100000000015,0.5,9,16114.0,144
AON/BG,2555.993047703172,0.4672457799054928,-4381.921680291086,-0.008763843360582172,0.44680851063829785,25,21082.0,144
PFE/YUM,1447.9835406022603,0.2902196870336509,-4434.541873563228,-0.008869083747126456,0.4473684210526316,17,76184.0,144
DXCM/UDR,1423.3117508977116,0.29092753668251653,-5232.209999999991,-0.010464419999999981,0.45454545454545453,21,83006.0,144
HAS/PFE,1327.903798091169,0.22302372009550117,-7878.120000000015,-0.01575624000000003,0.45,22,98072.0,144
TXT/YUM,-2825.933029816819,-2.292729124809568,-5052.289824489086,-0.010104579648978172,0.3125,3,5574.0,72
DLR/PRU,-3451.517780390333,-0.756271751219994,-9397.266487298408,-0.018794532974596816,0.4418604651162791,20,28559.0,144
CINF/FMC,-4693.807169236059,-0.741902993593569,-7370.701418494818,-0.014741402836989636,0.4117647058823529,16,77413.0,144
AON/GEN,-9172.976512024441,-1.5926941001834087,-11401.391035391342,-0.022802782070782682,0.5098039215686274,13,59640.0,144
