Date,OOS_Equity,OOS_DailyPnL,Window,n_pairs,OOS_Equity_Chained
2025-09-25,499931.506849315,-68.49315068498254,1,14,499931.506849315
2025-09-26,500476.0336015758,544.5267522608046,1,14,500476.0336015758
2025-09-29,500076.0231306226,-400.0104709532461,1,14,500076.0231306226
2025-09-30,503391.3976609473,3315.3745303247124,1,14,503391.3976609473
2025-10-01,499522.3945102621,-3869.0031506851665,1,14,499522.3945102621
2025-10-02,496748.8458295555,-2773.548680706648,1,14,496748.8458295555
2025-10-03,496132.0345816953,-616.8112478601979,1,14,496132.0345816953
2025-10-06,498163.1338910728,2031.099309377547,1,14,498163.1338910728
2025-10-07,500597.212022335,2434.078131262155,1,14,500597.212022335
2025-10-08,506097.6336377168,5500.421615381842,1,14,506097.6336377168
2025-10-09,505957.3191914019,-140.3144463149365,1,14,505957.3191914019
2025-10-10,505786.6786371182,-170.64055428368738,1,14,505786.6786371182
2025-10-13,508433.9798103407,2647.301173222484,1,14,508433.9798103407
2025-10-14,508365.4866596557,-68.49315068498254,1,14,508365.4866596557
2025-10-15,508296.9935089708,-68.49315068492433,1,14,508296.9935089708
2025-10-16,506623.0703582858,-1673.9231506849756,1,14,506623.0703582858
2025-10-17,504323.7672076011,-2299.303150684689,1,14,504323.7672076011
2025-10-20,504797.6740569164,473.9068493152736,1,14,504797.6740569164
2025-10-21,504873.4309062314,75.75684931501746,1,14,504873.4309062314
2025-10-22,505820.3577555465,946.9268493151176,1,14,505820.3577555465
2025-10-23,513347.1446048614,7526.786849314871,1,14,513347.1446048614
2025-10-24,513569.6314541767,222.48684931528987,1,14,513569.6314541767
2025-10-27,522260.0583034917,8690.426849315001,1,14,522260.0583034917
2025-10-28,523844.6851528066,1584.6268493148964,1,14,523844.6851528066
2025-10-30,499931.5068493149,-68.49315068509895,2,14,523844.6851528066
2025-10-31,499897.7208631187,-33.785986196191516,2,14,523810.8991666104
2025-11-03,499325.2077124338,-572.5131506848847,2,14,523238.3860159255
2025-11-04,502103.9728304673,2778.7651180334506,2,14,526017.151133959
2025-11-05,497594.2830486291,-4509.689781838155,2,14,521507.4613521208
2025-11-06,497901.7601332958,307.4770846666652,2,14,521814.93843678746
2025-11-07,496403.3909535058,-1498.3691797899664,2,14,520316.5692569975
2025-11-10,493976.9900835366,-2426.4008699692204,2,14,517890.1683870283
2025-11-11,496019.6159080332,2042.6258244966157,2,14,519932.7942115249
2025-11-12,497889.4138211968,1869.7979131636093,2,14,521802.5921246885
2025-11-13,497379.5348137494,-509.87900744745275,2,14,521292.71311724104
2025-11-14,493231.0189004128,-4148.515913336596,2,14,517144.19720390445
2025-11-17,492930.0528061474,-300.9660942654009,2,14,516843.23110963905
2025-11-18,490034.2196554627,-2895.833150684659,2,14,513947.3979589544
2025-11-19,489377.2665047775,-656.9531506852363,2,14,513290.44480826915
2025-11-20,486709.0133540925,-2668.253150684992,2,14,510622.19165758416
2025-11-21,487843.9302034074,1134.9168493149336,2,14,511757.1085068991
2025-11-24,486003.3170527224,-1840.613150685036,2,14,509916.49535621406
2025-11-25,483641.7139020374,-2361.6031506849686,2,14,507554.8922055291
2025-11-26,485665.4407513522,2023.7268493147567,2,14,509578.61905484385
2025-11-28,486458.2276006675,792.7868493153364,2,14,510371.4059041592
2025-12-01,485463.8544499825,-994.3731506849872,2,14,509377.0327534742
2025-12-02,486048.8512992975,584.9968493149499,2,14,509962.02960278915
2025-12-03,485203.4981486123,-845.3531506851432,2,14,509116.676452104
2025-12-05,499931.5068493149,-68.49315068509895,3,14,509116.676452104
2025-12-08,500842.9536986304,911.4468493154855,3,14,510028.1233014195
2025-12-09,503137.6711362842,2294.7174376538023,3,14,512322.8407390733
2025-12-10,504283.0922911548,1145.4211548705935,3,14,513468.2618939439
2025-12-11,502186.8991404696,-2096.193150685169,3,14,511372.0687432587
2025-12-12,502576.6804804596,389.7813399899751,3,14,511761.8500832487
2025-12-15,502574.3157245021,-2.364755957503803,3,14,511759.4853272912
2025-12-16,502505.8225738175,-68.49315068457508,3,14,511690.9921766066
2025-12-17,501181.1130527008,-1324.7095211166888,3,14,510366.2826554899
2025-12-18,501412.355888447,231.24283574620495,3,14,510597.5254912361
2025-12-19,502499.5882823165,1087.23239386949,3,14,511684.7578851056
2025-12-22,502065.4612233248,-434.1270589916967,3,14,511250.6308261139
2025-12-23,500518.8375170843,-1546.623706240498,3,14,509704.0071198734
2025-12-24,501310.0144159042,791.1768988198601,3,14,510495.1840186933
2025-12-26,500826.5412652192,-483.4731506849639,3,14,510011.7108680083
2025-12-29,499222.6481145341,-1603.8931506851222,3,14,508407.8177173232
