Pair,OOS_PnL,Sharpe,MaxDD,MaxDD_pct,WinRate,N_Trades,Turnover,N_Days
FSLR/WST,21962.998317004964,2.5341473785626847,-5187.790000000004,-0.010375580000000008,0.7083333333333334,27,19835.0,144
HII/PG,12613.629999999983,2.848975235114412,-759.1000000000004,-0.0015182000000000008,0.9166666666666666,5,6850.0,144
F/PG,10144.050950920237,3.2227643981296152,-1627.390000000004,-0.003254780000000008,0.7142857142857143,11,70128.0,144
MTCH/NVR,8107.466038550004,2.0438528353042975,-2637.070000000027,-0.005274140000000054,0.5777777777777777,32,89692.0,144
GIS/HUBB,5658.4643445491065,2.6497942597309443,0.0,0.0,1.0,4,10802.0,144
MSCI/MTB,2496.309999999995,0.8829311680004484,-1729.3799999999983,-0.0034587599999999965,0.625,7,4228.0,144
AWK/STLD,2169.266120577009,0.5309590993865839,-2678.1016032944813,-0.0053562032065889624,0.47368421052631576,7,8178.0,144
CL/WST,1824.13417274004,0.3237437558313622,-11053.409375260931,-0.022106818750521864,0.5151515151515151,21,30709.0,144
ETR/MKTX,1271.960627848096,0.9957846778976014,-1172.9083585136796,-0.002345816717027359,0.5833333333333334,7,4894.0,144
AWK/EXPD,-216.86753415029852,-0.05850337677946326,-5278.956770176768,-0.010557913540353537,0.5,11,15448.0,144
CL/GD,-1131.829999999994,-0.3300512439974413,-3174.3400000000006,-0.0063486800000000015,0.4482758620689655,11,17144.0,144
AWK/FOX,-2201.2367985193023,-0.36254930360490045,-9426.503458434621,-0.018853006916869242,0.5102040816326531,25,54457.0,144
PG/RTX,-2872.3461518550234,-1.3059447750109512,-4707.686151855029,-0.009415372303710057,0.391304347826087,10,9898.0,144
MKTX/WST,-11085.43343731549,-2.0929052426321024,-14540.922710042834,-0.02908184542008567,0.40625,17,13187.0,144
GRMN/KO,-14113.566624908057,-2.495310999559559,-15536.558158979198,-0.031073116317958397,0.4473684210526316,18,26742.0,144
