Pair,OOS_PnL,Sharpe,MaxDD,MaxDD_pct,WinRate,N_Trades,Turnover,N_Days
BSX/PFE,13681.09822988507,1.8669553758699737,-1042.46,-0.00208492,0.5384615384615384,5,26314.0,144
AON/KKR,12844.681248013094,2.4511909360369413,-3171.459999999999,-0.006342919999999998,0.625,20,24359.0,144
EXR/WY,5932.899999999992,2.0563200132570074,-1982.1600000000108,-0.003964320000000021,0.6,9,33956.0,144
HAS/YUM,4861.088722820822,0.9603095059095208,-4124.800679848163,-0.008249601359696325,0.5,9,21942.0,144
HWM/ROP,4654.117761086072,1.0439155597353793,-3996.5215854476387,-0.007993043170895277,0.525,31,10312.0,144
AON/BR,2263.8114105652976,0.43282882329626593,-7105.485851514977,-0.014210971703029955,0.6097560975609756,22,18542.0,144
CME/DE,2099.9446775981983,0.7718317688596685,-2769.469999999992,-0.005538939999999984,0.5833333333333334,8,3944.0,144
AAPL/CINF,-174.942298966797,-0.06762921130453944,-2283.732829641662,-0.004567465659283325,0.4166666666666667,4,3922.0,144
AIG/NTRS,-192.4899999999909,-0.22755383047869074,-2383.729999999998,-0.004767459999999997,0.4166666666666667,3,5810.0,48
DUK/PPL,-1683.7252040701683,-0.5940992963321057,-4602.3355098295015,-0.009204671019659003,0.49295774647887325,19,61833.0,144
AKAM/MSFT,-1947.126713713732,-0.21959217593854718,-11572.536713713736,-0.023145073427427474,0.55,10,12034.0,144
AIG/PFG,-2543.173359931252,-0.7900863316339137,-5276.343047508687,-0.010552686095017375,0.3684210526315789,10,22434.0,120
AIG/CFG,-6307.46253765933,-2.4029049536731324,-6307.462537659332,-0.012614925075318664,0.38461538461538464,12,36046.0,120
APO/MCO,-11584.755826415749,-2.322942200237313,-11812.130407630508,-0.023624260815261016,0.4,14,13636.0,144
CINF/FISV,-11629.031785966106,-1.6820334180397987,-14685.902138049325,-0.02937180427609865,0.43137254901960786,22,45946.0,144
