Date,Equity,DailyPnL,Window,Equity_Chained
2025-11-21,499931.5068493153,-68.49315068493152,1,499931.5068493153
2025-11-24,501648.1765625355,1716.66971322021,1,501648.1765625355
2025-11-25,500263.6662783384,-1384.510284197051,1,500263.6662783384
2025-11-26,500407.2054461085,143.5391677700682,1,500407.2054461085
2025-11-28,498731.581839444,-1675.623606664478,1,498731.581839444
2025-12-01,499224.0624256138,492.4805861697532,1,499224.0624256138
2025-12-02,499202.6618970687,-21.40052854502574,1,499202.6618970687
2025-12-03,498266.8188970207,-935.843000048073,1,498266.8188970207
2025-12-04,499441.9643341061,1175.145437085419,1,499441.9643341061
2025-12-05,498723.8639381907,-718.1003959153313,1,498723.8639381907
2025-12-08,500454.829035262,1730.965097071254,1,500454.829035262
2025-12-09,499291.5450421091,-1163.283993152902,1,499291.5450421091
2025-12-10,497593.1864189828,-1698.358623126289,1,497593.1864189828
2025-12-11,497607.9263162983,14.73989731550682,1,497607.9263162983
2025-12-12,497350.9191273744,-257.0071889238898,1,497350.9191273744
2025-12-15,496979.5744697253,-371.3446576491697,1,496979.5744697253
2025-12-16,498413.4241572255,1433.849687500275,1,498413.4241572255
2025-12-17,497630.1785843994,-783.2455728261266,1,497630.1785843994
2025-12-18,498937.2937545942,1307.115170194767,1,498937.2937545942
2025-12-19,498935.7641552276,-1.529599366593175,1,498935.7641552276
2025-12-22,498158.3710045423,-777.3931506852387,1,498158.3710045423
2025-12-23,497948.0578538575,-210.3131506848149,1,497948.0578538575
2025-12-24,497823.0747031727,-124.9831506848568,1,497823.0747031727
2025-12-26,497145.5815524877,-677.4931506849825,1,497145.5815524877
2025-12-30,499931.5068493151,-68.49315068493152,2,497145.5815524877
2025-12-31,500136.3691189194,204.8622696042294,2,497350.443822092
2026-01-02,500073.7492005593,-62.61991836002562,2,497287.8239037319
2026-01-05,501381.9060498743,1308.156849314924,2,498595.9807530469
2026-01-06,501380.9428991894,-0.9631506848381832,2,498595.01760236203
2026-01-07,502570.7638655273,1189.820966337924,2,499784.8385686999
2026-01-08,504802.2638134179,2231.499947890523,2,502016.33851659053
2026-01-09,505425.756212225,623.4923988070805,2,502639.8309153976
2026-01-12,504698.5975911833,-727.1586210416863,2,501912.6722943559
2026-01-13,504167.0852197987,-531.5123713845387,2,501381.15992297133
2026-01-14,503967.3458799367,-199.7393398620188,2,501181.4205831093
2026-01-15,503152.1993383163,-815.1465416203719,2,500366.2740414889
2026-01-16,498803.7117526688,-4348.487585647497,2,496017.7864558414
2026-01-20,499959.1676091086,1155.455856439774,2,497173.2423122812
2026-01-21,501121.4404168379,1162.272807729314,2,498335.51512001053
2026-01-22,503800.4659802589,2679.025563420961,2,501014.5406834315
2026-01-23,505661.5753770513,1861.109396792366,2,502875.6500802239
2026-01-26,504837.6269040348,-823.9484730164986,2,502051.7016072074
2026-01-27,509566.1557857258,4728.528881691047,2,506780.2304888984
2026-01-28,508896.6826350408,-669.4731506849639,2,506110.7573382134
2026-01-29,509667.4094843558,770.7268493149895,2,506881.48418752843
2026-01-30,508879.5288092172,-787.8806751386728,2,506093.6035123898
2026-02-02,508811.0356585323,-68.49315068486612,2,506025.1103617049
2026-02-03,509113.722507847,302.6868493147194,2,506327.7972110196
2026-02-05,499931.5068493151,-68.49315068493152,3,506327.7972110196
2026-02-06,499736.9939481018,-194.5129012133693,3,506133.28430980636
2026-02-09,499668.500797417,-68.49315068474971,3,506064.79115912155
2026-02-10,500061.3502449783,392.8494475613115,3,506457.64060668286
2026-02-11,496335.0769941534,-3726.273250824888,3,502731.3673558579
2026-02-12,493027.3675820683,-3307.709412085125,3,499423.65794377285
2026-02-13,488220.6810060133,-4806.686576055014,3,494616.97136771784
2026-02-17,488556.3737413444,335.692735331133,3,494952.6641030489
2026-02-18,489791.8250691871,1235.45132784266,3,496188.11543089163
2026-02-19,489552.0319185019,-239.7931506851455,3,495948.3222802064
2026-02-20,490057.2400538678,505.2081353658577,3,496453.53041557234
2026-02-23,488216.2469031827,-1840.993150685099,3,494612.53726488724
2026-02-24,487740.1158015776,-476.1311016051332,3,494136.4061632821
2026-02-25,488356.1014728947,615.9856713170884,3,494752.39183459926
2026-02-26,488749.8083222096,393.7068493149709,3,495146.0986839141
2026-02-27,486256.9651715246,-2492.843150685076,3,492653.25553322915
2026-03-02,487951.1340821893,1694.168910664739,3,494347.42444389383
2026-03-03,488720.3043670872,769.1702848979039,3,495116.59472879174
2026-03-04,489798.2695477096,1077.965180622414,3,496194.55990941415
2026-03-05,486648.2164749396,-3150.05307277001,3,493044.50683664414
2026-03-06,487323.3215422595,675.1050673199352,3,493719.611903964
2026-03-09,489131.5976640258,1808.276121766306,3,495527.8880257303
2026-03-10,489260.7545133408,129.1568493149243,3,495657.04487504537
2026-03-11,488387.4313626559,-873.3231506848242,3,494783.7217243604
2026-03-13,499931.5068493144,-68.49315068493152,4,494783.7217243604
2026-03-16,499412.6535235508,-518.8533257636009,4,494264.8683985968
2026-03-17,500923.8977682933,1511.24424474244,4,495776.1126433393
2026-03-18,500174.8881682695,-749.009600023739,4,495027.1030433155
2026-03-19,499568.4850175845,-606.4031506850151,4,494420.69989263057
2026-03-20,499580.7576917569,12.27267417241819,4,494432.9725668029
2026-03-23,498380.0184339968,-1200.739257760113,4,493232.2333090429
2026-03-24,497556.0852833118,-823.9331506850431,4,492408.30015835783
2026-03-25,498233.5095096807,677.4242263688939,4,493085.7243847267
2026-03-26,499960.9110301144,1727.401520433719,4,494813.12590516044
2026-03-27,499640.7478794296,-320.1631506847916,4,494492.96275447565
2026-03-30,506934.1047287444,7293.356849314761,4,501786.31960379047
2026-03-31,505119.7015780597,-1814.403150684666,4,499971.91645310575
2026-04-01,507577.9684273747,2458.266849315027,4,502430.1833024208
2026-04-02,508271.4975115173,693.5290841425303,4,503123.71238656336
2026-04-06,507904.9143608322,-366.5831506850664,4,502757.12923587824
2026-04-07,506255.8812101468,-1649.033150685369,4,501108.09608519287
2026-04-08,507446.738059462,1190.856849315227,4,502298.95293450804
2026-04-09,503134.664908777,-4312.073150685057,4,497986.87978382304
2026-04-10,495138.2317580924,-7996.433150684577,4,489990.44663313846
2026-04-13,493728.7186074069,-1409.513150685467,4,488580.93348245294
2026-04-14,489069.1654567219,-4659.553150685038,4,483921.38033176796
2026-04-15,486779.8423060369,-2289.323150685057,4,481632.05718108296
2026-04-16,487381.1791553516,601.3368493147427,4,482233.39403039764
2026-04-20,499931.506849315,-68.49315068493152,5,482233.39403039764
2026-04-21,499863.0136986302,-68.49315068486612,5,482164.90087971283
2026-04-22,499991.5505479451,128.536849314929,5,482293.4377290277
2026-04-23,505881.7758683014,5890.225320356316,5,488183.663049384
2026-04-24,505813.2827176164,-68.49315068498254,5,488115.16989869904
2026-04-27,505744.7895669314,-68.49315068498254,5,488046.676748014
2026-04-28,505860.9720275641,116.1824606326409,5,488162.8592086467
2026-04-29,507374.2547047896,1513.282677225536,5,489676.14188587223
2026-04-30,510524.5347975699,3150.280092780245,5,492826.42197865254
2026-05-01,513603.0672425732,3078.532445003395,5,495904.9544236558
2026-05-04,514072.7514290561,469.684186482802,5,496374.63861013873
2026-05-05,518251.4093730822,4178.65794402617,5,500553.29655416484
2026-05-06,518390.7104489278,139.3010758456076,5,500692.59763001045
2026-05-07,516992.8461506942,-1397.864298233646,5,499294.7333317768
2026-05-08,516083.8181757794,-909.0279749147594,5,498385.70535686205
2026-05-11,515451.604198934,-632.213976845378,5,497753.4913800166
2026-05-12,515432.1423627048,-19.46183622919489,5,497734.0295437874
2026-05-13,514311.7495772355,-1120.392785469303,5,496613.6367583181
2026-05-14,511553.6994554076,-2758.050121827982,5,493855.58663649025
2026-05-15,508980.3213047226,-2573.378150684992,5,491282.2084858052
2026-05-18,505761.858154037,-3218.463150685537,5,488063.7453351196
2026-05-19,507740.2525033524,1978.39434931532,5,490042.13968443504
2026-05-20,507807.0393526673,66.78684931492899,5,490108.9265337499
2026-05-21,507218.5162019825,-588.5231506847776,5,489520.40338306513
2026-05-26,499931.506849315,-68.49315068493152,6,489520.40338306513
2026-05-27,499863.0136986299,-68.49315068509895,6,489451.91023238003
2026-05-28,498733.5963719805,-1129.417326649418,6,488322.4929057306
2026-05-29,495965.5946739869,-2768.001697993604,6,485554.491207737
2026-06-01,494596.5187745963,-1369.07589939062,6,484185.4153083464
2026-06-02,502445.8783101696,7849.359535573283,6,492034.77484391973
2026-06-03,504414.6243004784,1968.745990308817,6,494003.5208342285
2026-06-04,504722.9588533971,308.3345529186772,6,494311.8553871472
2026-06-05,509767.6463637351,5044.68751033803,6,499356.5428974852
2026-06-08,509696.8166248559,-70.82973887922708,6,499285.713158606
2026-06-09,509029.9161646498,-666.9004602060886,6,498618.81269839994
2026-06-10,507433.5362054294,-1596.379959220416,6,497022.4327391795
2026-06-11,508069.9901059612,636.4539005318657,6,497658.88663971133
2026-06-12,508349.6380575609,279.6479515996762,6,497938.534591311
2026-06-15,503402.3840811772,-4947.253976383712,6,492991.2806149273
2026-06-16,503045.8709304921,-356.5131506851176,6,492634.76746424224
2026-06-17,501034.9505746581,-2010.92035583395,6,490623.8471084082
2026-06-18,499622.7553910383,-1412.195183619857,6,489211.6519247884
2026-06-22,498779.7262517177,-843.0291393205989,6,488368.6227854678
2026-06-23,502626.7731010331,3847.046849315404,6,492215.66963478323
2026-06-24,500337.859950348,-2288.913150685024,6,489926.7564840981
2026-06-25,499704.3267996631,-633.5331506849034,6,489293.2233334132
2026-06-26,501836.6336489781,2132.306849314948,6,491425.5301827282
2026-06-29,500309.280498293,-1527.353150685085,6,489898.1770320431
