Date,Equity,DailyPnL,Window,Equity_Chained
2025-09-11,499931.5068493147,-68.49315068493152,1,499931.5068493147
2025-09-12,502361.0373134,2429.530464085285,1,502361.0373134
2025-09-15,504390.4702691145,2029.432955714525,1,504390.4702691145
2025-09-16,503372.47711843,-1017.993150684517,1,503372.47711843
2025-09-17,504807.1127803894,1434.635661959415,1,504807.1127803894
2025-09-18,506701.1637160574,1894.050935668056,1,506701.1637160574
2025-09-19,507595.6991467141,894.5354306566296,1,507595.6991467141
2025-09-22,508949.9379312648,1354.238784550689,1,508949.9379312648
2025-09-23,508846.6146132642,-103.3233180005336,1,508846.6146132642
2025-09-24,509590.1725882541,743.5579749898752,1,509590.1725882541
2025-09-25,510170.0122495242,579.8396612701472,1,510170.0122495242
2025-09-26,510461.2662615221,291.2540119978366,1,510461.2662615221
2025-09-29,509825.6231108374,-635.6431506846566,1,509825.6231108374
2025-09-30,508692.4499601526,-1133.173150684801,1,508692.4499601526
2025-10-01,498505.8990217804,-10186.55093837227,1,498505.8990217804
2025-10-02,496302.9361789204,-2202.96284285991,1,496302.9361789204
2025-10-03,494688.2330282354,-1614.703150685062,1,494688.2330282354
2025-10-06,494889.2698775502,201.0368493148126,1,494889.2698775502
2025-10-07,492866.2667268654,-2023.003150684759,1,492866.2667268654
2025-10-08,496737.3535761803,3871.086849314859,1,496737.3535761803
2025-10-09,496941.7204254958,204.3668493154692,1,496941.7204254958
2025-10-10,499223.1772748108,2281.456849315087,1,499223.1772748108
2025-10-13,498400.3241241256,-822.8531506852014,1,498400.3241241256
2025-10-14,499337.7309734406,937.4068493149243,1,499337.7309734406
2025-10-16,499931.506849315,-68.49315068493152,2,499337.7309734406
2025-10-17,500728.526172836,797.0193235209445,2,500134.7502969616
2025-10-20,500242.8946262922,-485.6315465437947,2,499649.1187504178
2025-10-21,500424.1326485641,181.238022271893,2,499830.3567726897
2025-10-22,500509.8278300813,85.6951815172797,2,499916.05195420684
2025-10-23,507169.3260086077,6659.49817852641,2,506575.55013273325
2025-10-24,508041.0871707825,871.7611621747492,2,507447.31129490805
2025-10-27,513110.3561645715,5069.268993788981,2,512516.58028869703
2025-10-28,514835.3071760066,1724.951011435129,2,514241.53130013216
2025-10-29,511078.1999770894,-3757.107198917191,2,510484.424101215
