Pair,OOS_PnL,Sharpe,MaxDD,MaxDD_pct,WinRate,N_Trades,Turnover,N_Days
MTCH/NVR,13402.675201549137,2.537355855910412,-1712.1400000000085,-0.003424280000000017,0.5909090909090909,32,93922.0,144
AMT/TJX,8530.45188281204,2.8958032786497445,-2613.867305978696,-0.005227734611957392,0.696969696969697,19,21654.0,144
CL/WST,3159.06999960383,0.4540481920170199,-6539.1756187179435,-0.013078351237435887,0.47619047619047616,25,37888.0,144
CI/LVS,2648.1388883447535,0.753944015356819,-4318.704882468168,-0.008637409764936335,0.6,7,14884.0,96
MSCI/MTB,999.0099999999918,0.31843411938626476,-2981.0700000000006,-0.005962140000000001,0.3333333333333333,8,4212.0,144
ALB/YUM,853.5300000000234,0.09498720619582043,-11417.509999999987,-0.022835019999999973,0.5625,7,9121.0,144
PFG/WMT,-125.4000000000035,-0.7275518959895457,-500.9200000000005,-0.001001840000000001,0.3333333333333333,1,872.0,24
F/PG,-766.6659739263828,-0.3381105601075846,-2633.829999999999,-0.005267659999999998,0.47058823529411764,8,46970.0,144
GIS/HUBB,-1348.3600000000124,-0.8761884397149301,-2141.4600000000064,-0.004282920000000013,0.3333333333333333,2,4844.0,144
PFE/PSX,-1817.2295431793245,-0.24796844312174535,-8227.783803715753,-0.016455567607431505,0.5,25,116238.0,144
HAS/PFE,-3196.3654832342195,-1.3252581843770033,-3796.2902068965586,-0.007592580413793118,0.4166666666666667,7,28362.0,144
LNT/MKTX,-5070.008328084948,-0.9820542178675106,-10073.224992431406,-0.02014644998486281,0.41304347826086957,20,44192.0,144
PFG/YUM,-5722.417195533364,-2.0707069141393726,-7648.808032495245,-0.01529761606499049,0.375,17,28607.0,144
GRMN/KO,-19982.207690548865,-3.1152086949438282,-21211.967690548867,-0.04242393538109773,0.3333333333333333,18,30839.0,144
ETR/MKTX,-23412.890000000003,-3.797931037318253,-23412.89,-0.04682578,0.05555555555555555,8,15592.0,144
