Date,OOS_Equity,OOS_DailyPnL,Window,n_pairs,OOS_Equity_Chained
2025-11-19,499931.506849315,-68.49315068498254,1,15,499931.506849315
2025-11-20,500776.9641681043,845.4573187892674,1,15,500776.9641681043
2025-11-21,501609.4205658355,832.4563977312064,1,15,501609.4205658355
2025-11-24,502915.8935379604,1306.4729721249314,1,15,502915.8935379604
2025-11-25,503136.0850509995,220.19151303905528,1,15,503136.0850509995
2025-11-26,503266.2200378316,130.13498683209764,1,15,503266.2200378316
2025-11-28,501692.9873234459,-1573.2327143856674,1,15,501692.9873234459
2025-12-01,502152.5995313214,459.61220787547063,1,15,502152.5995313214
2025-12-02,502129.497695627,-23.10183569439687,1,15,502129.497695627
2025-12-03,501248.9403502723,-880.5573453546967,1,15,501248.9403502723
2025-12-04,502345.9977016001,1097.0573513277923,1,15,502345.9977016001
2025-12-05,501147.3485243901,-1198.649177209998,1,15,501147.3485243901
2025-12-08,504192.9218252248,3045.573300834745,1,15,504192.9218252248
2025-12-09,503799.4051402401,-393.5166849847301,1,15,503799.4051402401
2025-12-10,502891.1846503254,-908.2204899147036,1,15,502891.1846503254
2025-12-11,502900.6116927183,9.42704239289742,1,15,502900.6116927183
2025-12-12,503786.1635420331,885.5518493148265,1,15,503786.1635420331
2025-12-15,503432.632152362,-353.5313896710868,1,15,503432.632152362
2025-12-16,504915.2818398625,1482.649687500496,1,15,504915.2818398625
2025-12-17,503651.8362670363,-1263.4455728261964,1,15,503651.8362670363
2025-12-18,504873.7014372312,1221.8651701948838,1,15,504873.7014372312
2025-12-19,505104.9718378646,231.27040063339518,1,15,505104.9718378646
2025-12-22,504399.2786871794,-705.693150685227,1,15,504399.2786871794
2025-12-23,504197.1955364945,-202.08315068489173,1,15,504197.1955364945
2025-12-26,499931.506849315,-68.49315068498254,2,15,504197.1955364945
2025-12-29,499606.3736986299,-325.1331506851129,2,15,503872.0623858094
2025-12-30,499402.8126265968,-203.5610720331315,2,15,503668.50131377624
2025-12-31,499885.358586411,482.5459598142188,2,15,504151.04727359046
2026-01-02,499788.872126751,-96.48645965999458,2,15,504054.56081393047
2026-01-05,500279.9712419837,491.0991152327042,2,15,504545.6599291632
2026-01-06,500273.6480912988,-6.323150684882421,2,15,504539.3367784783
2026-01-07,501460.5494115871,1186.901320288307,2,15,505726.2380987666
2026-01-08,502635.5143062368,1174.964894649689,2,15,506901.2029934163
2026-01-09,503120.4011555518,484.8868493149639,2,15,507386.08984273125
2026-01-12,502947.2237075899,-173.17744796187617,2,15,507212.9123947694
2026-01-13,502740.4945764682,-206.72913112171227,2,15,507006.18326364766
2026-01-14,502520.0193611762,-220.47521529201185,2,15,506785.70804835565
2026-01-15,501720.086210491,-799.9331506851595,2,15,505985.7748976705
2026-01-16,499027.8144862561,-2692.271724234917,2,15,503293.5031734356
2026-01-20,500711.0247438106,1683.210257554485,2,15,504976.71343099006
