Pair,OOS_PnL,Sharpe,MaxDD,MaxDD_pct,WinRate,N_Trades,Turnover,N_Days
HII/PG,11577.817982535507,2.283679005281518,-1563.560607259345,-0.00312712121451869,0.8333333333333334,5,7432.0,144
CL/WST,10503.28542762554,1.6662407745292918,-4496.2399999999925,-0.008992479999999985,0.4722222222222222,21,32309.0,144
MTCH/NVR,10462.118712261221,2.4591232259635105,-2980.7000000000276,-0.005961400000000055,0.6382978723404256,34,102061.0,144
AWK/STLD,6598.940763692363,1.596383648613927,-2896.5077869379784,-0.005793015573875957,0.5454545454545454,10,11716.0,144
AMT/TJX,4837.813337582322,1.3977277239763763,-2403.9476679326654,-0.004807895335865331,0.5227272727272727,20,24258.0,144
GIS/HUBB,4809.419999999981,2.284890479470833,0.0,0.0,1.0,3,8162.0,144
PFE/PSX,4027.0332727907917,0.8301070521911018,-4227.029999999992,-0.008454059999999984,0.4827586206896552,17,72965.0,144
MSCI/MTB,3628.2792604649267,1.0667021460042267,-1858.3952219371176,-0.0037167904438742353,0.5789473684210527,9,5828.0,144
F/PG,2979.769564544981,1.6767854044804766,-1464.5399999999975,-0.002929079999999995,0.5833333333333334,6,38490.0,144
ETR/MKTX,2030.5852258064392,1.2558009552661864,-1248.029999999998,-0.0024960599999999957,0.5833333333333334,6,6147.0,144
PFG/WMT,0.0,0.0,0.0,0.0,,0,0.0,24
GRMN/KO,-3958.345055679977,-0.9979626909842665,-7629.494845459513,-0.015258989690919026,0.46153846153846156,16,27127.0,144
MKTX/WST,-5206.800132840098,-1.1287980662985397,-10135.030132840093,-0.020270060265680186,0.43333333333333335,16,13897.0,144
AWK/FOX,-5752.7954751589505,-0.9166916580134069,-9059.475475158946,-0.018118950950317892,0.5087719298245614,26,61602.0,144
PFG/YUM,-6202.183152067526,-2.594991909632448,-7647.700000000002,-0.015295400000000004,0.32,12,19051.0,144
