Date,Equity,DailyPnL,Window,Equity_Chained
2025-11-03,499931.5068493151,-68.49315068493152,1,499931.5068493151
2025-11-04,499485.2820948565,-446.2247544586426,1,499485.2820948565
2025-11-05,501068.4880085012,1583.20591364475,1,501068.4880085012
2025-11-06,500681.8920507065,-386.5959577946924,1,500681.8920507065
2025-11-07,500109.7388626692,-572.1531880373368,1,500109.7388626692
2025-11-10,500312.6654253864,202.9265627171844,1,500312.6654253864
2025-11-11,505763.2672599879,5450.60183460149,1,505763.2672599879
2025-11-12,507701.1936790167,1937.926419028779,1,507701.1936790167
2025-11-13,505459.159679275,-2242.033999741659,1,505459.159679275
2025-11-14,507612.5749248165,2153.415245541488,1,507612.5749248165
2025-11-17,508130.4732835651,517.8983587486437,1,508130.4732835651
2025-11-18,508425.2900532127,294.8167696475284,1,508425.2900532127
2025-11-19,509847.7242530084,1422.434199795709,1,509847.7242530084
2025-11-20,512485.5711023232,2637.846849314868,1,512485.5711023232
2025-11-21,512594.5779516384,109.0068493151339,1,512594.5779516384
2025-11-24,513572.6548009533,978.0768493149662,1,513572.6548009533
2025-11-25,514178.5287001886,605.8738992352737,1,514178.5287001886
2025-11-26,514275.3894501938,96.86075000523124,1,514275.3894501938
2025-11-28,514700.2123065456,424.8228563517332,1,514700.2123065456
2025-12-01,513187.7527797322,-1512.459526813356,1,513187.7527797322
2025-12-02,513104.9396290472,-82.81315068504773,1,513104.9396290472
2025-12-03,512547.476478362,-557.4631506851874,1,512547.476478362
2025-12-04,508768.383327677,-3779.093150684959,1,508768.383327677
2025-12-05,506240.9601769921,-2527.423150684917,1,506240.9601769921
2025-12-09,499931.506849315,-68.49315068493152,2,506240.9601769921
2025-12-10,499092.9936334069,-838.5132159080822,2,505402.446961084
2025-12-11,498685.6682778981,-407.3253555088304,2,504995.1216055752
2025-12-12,500938.8343622875,2253.166084389435,2,507248.2876899646
2025-12-15,502981.6052386129,2042.770876325318,2,509291.05856629
2025-12-16,502958.9729594974,-22.6322791154962,2,509268.4262871745
2025-12-17,500413.003888479,-2545.969071018393,2,506722.4572161561
2025-12-18,500344.5107377943,-68.49315068463329,2,506653.9640654714
2025-12-19,500611.9501380314,267.4394002370536,2,506921.4034657085
2025-12-22,498923.881680084,-1688.068457947345,2,505233.3350077611
2025-12-23,498714.6741517168,-209.2075283672893,2,505024.1274793939
2025-12-24,498329.0785117615,-385.5956399552524,2,504638.5318394386
2025-12-26,498011.9653610768,-317.1131506847451,2,504321.4186887539
2025-12-29,497347.5217382885,-664.443622788298,2,503656.9750659656
2025-12-30,496944.6534476983,-402.8682905901223,2,503254.1067753754
2025-12-31,496771.1858803111,-173.4675673872698,2,503080.6392079882
2026-01-02,497265.0585539908,493.8726736797253,2,503574.5118816679
2026-01-05,495943.8221919412,-1321.236362049589,2,502253.2755196183
2026-01-06,501587.5365918372,5643.71439989598,2,507896.9899195143
2026-01-07,502429.1834411523,841.6468493151478,2,508738.63676882937
2026-01-08,503366.0848320085,936.9013908561319,2,509675.5381596856
2026-01-09,507158.0109925584,3791.926160549978,2,513467.4643202355
2026-01-12,506899.2978418738,-258.7131506846054,2,513208.7511695509
2026-01-13,508102.5446911884,1203.246849314542,2,514411.9980188655
2026-01-15,499931.506849315,-68.49315068493152,3,514411.9980188655
2026-01-16,496967.09369863,-2964.413150685024,3,511447.58486818045
2026-01-20,499638.7905479455,2671.696849315544,3,514119.28171749593
2026-01-21,498848.9475571392,-789.8429908063263,3,513329.43872668967
2026-01-22,495843.910354286,-3005.037202853244,3,510324.4015238365
2026-01-23,495411.037203601,-432.8731506849872,3,509891.52837315144
2026-01-26,497143.6908164439,1732.6536128429,3,511624.18198599434
2026-01-27,495043.6269999314,-2100.063816512469,3,509524.11816948187
2026-01-28,495208.6338492467,165.0068493152503,3,509689.1250187972
2026-01-29,494237.3550342602,-971.2788149864646,3,508717.84620381065
2026-01-30,494133.4615947068,-103.8934395534452,3,508613.95276425726
2026-02-02,495908.5120907007,1775.050495993928,3,510389.00326025113
2026-02-03,492488.8925550823,-3419.619535618345,3,506969.38372463273
2026-02-04,496320.3274826746,3831.434927592287,3,510800.8186522251
2026-02-05,498033.4094090365,1713.081926361891,3,512513.90057858697
2026-02-06,500308.2956283996,2274.886219363078,3,514788.78679795004
2026-02-09,498514.6924777146,-1793.603150684969,3,512995.1836472651
2026-02-10,503518.6493270298,5003.956849315204,3,517999.1404965803
2026-02-11,501014.047015826,-2504.602311203838,3,515494.53818537644
2026-02-12,505278.0238651409,4263.976849314873,3,519758.5150346914
2026-02-13,505209.530714456,-68.49315068486612,3,519690.02188400645
2026-02-17,507533.9875637713,2324.45684931532,3,522014.47873332177
2026-02-18,507292.6144130862,-241.3731506851036,3,521773.10558263666
2026-02-19,505598.6312624012,-1693.983150684973,3,520079.12243195163
2026-02-23,499931.506849315,-68.49315068493152,4,520079.12243195163
2026-02-24,500320.7346915177,389.2278422026429,4,520468.35027415433
2026-02-25,500153.2915408327,-167.443150684936,4,520300.90712346934
2026-02-26,499653.2683901479,-500.0231506847776,4,519800.8839727845
2026-02-27,499057.8841176701,-595.3842724778224,4,519205.49970030674
2026-03-02,498524.242604552,-533.6415131181711,4,518671.8581871886
2026-03-03,500364.8508793821,1840.608274830156,4,520512.4664620187
2026-03-04,501182.4766583694,817.6257789873052,4,521330.09224100603
2026-03-05,500288.5496435385,-893.9270148308715,4,520436.1652261751
2026-03-06,499446.996207351,-841.5534361875616,4,519594.6117899876
2026-03-09,499426.8717058594,-20.12450149154756,4,519574.487288496
2026-03-10,498384.6189219981,-1042.252783861361,4,518532.2345046347
2026-03-11,495891.0046416534,-2493.614280344686,4,516038.62022429
2026-03-12,495003.6903061343,-887.3143355190987,4,515151.3058887709
2026-03-13,494092.798133026,-910.8921731082955,4,514240.4137156626
2026-03-16,493069.0249823408,-1023.773150685243,4,513216.6405649774
2026-03-17,490664.4918316562,-2404.533150684554,4,510812.1074142928
2026-03-18,488307.2353012344,-2357.256530421786,4,508454.850883871
2026-03-19,488576.0421505494,268.8068493150058,4,508723.65773318603
2026-03-20,490055.6138353721,1479.571684822731,4,510203.2294180087
2026-03-23,490334.980684687,279.3668493148871,4,510482.5962673236
2026-03-24,485503.7675340022,-4831.213150684838,4,505651.3831166388
2026-03-25,485300.8543833176,-202.9131506845588,4,505448.4699659542
2026-03-26,482268.3612326322,-3032.493150685448,4,502415.9768152688
2026-03-30,499931.5068493151,-68.49315068493152,5,502415.9768152688
2026-03-31,501555.5577189046,1624.050869589439,5,504040.0276848583
2026-04-01,499114.3863262074,-2441.171392697142,5,501598.8562921611
2026-04-02,499195.8531755228,81.46684931532945,5,501680.32314147655
2026-04-06,501356.9700248378,2161.116849315003,5,503841.43999079155
2026-04-07,500027.0068741523,-1329.96315068542,5,502511.476840106
2026-04-08,502745.5976881926,2718.590814040275,5,505230.06765414635
2026-04-09,499766.4237619552,-2979.173926237389,5,502250.8937279089
2026-04-10,492519.7044036657,-7246.719358289498,5,495004.1743696194
2026-04-13,494581.0003197944,2061.295916128671,5,497065.47028574813
2026-04-14,493287.6771691093,-1293.323150685057,5,495772.147135063
2026-04-15,494430.223946641,1142.546777531621,5,496914.69391259475
2026-04-16,494018.3507959561,-411.8731506848708,5,496502.8207619098
2026-04-17,491943.4176452712,-2074.933150684927,5,494427.88761122496
2026-04-20,495674.4244945861,3731.006849314901,5,498158.89446053986
2026-04-21,497236.1613439011,1561.736849314999,5,499720.63130985486
2026-04-22,497188.5281932162,-47.63315068488009,5,499672.9981591699
2026-04-23,490396.2350425314,-6792.293150684796,5,492880.7050084851
2026-04-24,490971.3918918468,575.15684931539,5,493455.8618578005
2026-04-27,491766.5387411617,795.146849314915,5,494251.0087071154
2026-04-28,492213.6955904765,447.1568493148079,5,494698.16555643023
2026-04-29,492088.6442292993,-125.051361177233,5,494573.114195253
2026-04-30,493005.0910786139,916.4468493146123,5,495489.5610445676
2026-05-01,492755.7679279292,-249.3231506847078,5,495240.2378938829
2026-05-05,499931.506849315,-68.49315068493152,6,495240.2378938829
2026-05-06,499863.0136986302,-68.49315068486612,6,495171.7447431981
2026-05-07,500699.0805479451,836.0668493149569,6,496007.811592513
2026-05-08,500154.7613439392,-544.3192040058784,6,495463.49238850706
2026-05-11,497578.8303951945,-2575.930948744761,6,492887.5614397624
2026-05-12,495495.8479701148,-2082.982425079681,6,490804.5790146827
2026-05-13,494259.4992323857,-1236.348737729131,6,489568.2302769536
2026-05-14,496909.9872153038,2650.487982918159,6,492218.7182598717
2026-05-15,499476.6476812067,2566.660465902882,6,494785.3787257746
2026-05-18,497096.9803584291,-2379.667322777561,6,492405.71140299697
2026-05-19,497308.6497158345,211.6693574053934,6,492617.38076040236
2026-05-20,500411.6998362929,3103.050120458356,6,495720.4308808608
2026-05-21,499439.8203234368,-971.8795128561324,6,494748.5513680047
2026-05-22,497629.255727937,-1810.564595499774,6,492937.98677250487
2026-05-26,497384.6617027581,-244.5940251789289,6,492693.392747326
2026-05-27,500587.728552073,3203.066849314957,6,495896.4595966409
2026-05-28,501789.6154013879,1201.886849314906,6,497098.3464459558
2026-05-29,500938.4665155283,-851.1488858596422,6,496247.19756009616
2026-06-01,499724.4533648433,-1214.013150685001,6,495033.1844094112
2026-06-02,500406.3402141582,681.8868493149057,6,495715.07125872606
2026-06-03,501417.2670634734,1010.926849315176,6,496725.9981080413
2026-06-04,501326.0839127885,-91.18315068481024,6,496634.8149573564
2026-06-05,496313.4507621038,-5012.633150684764,6,491622.18180667167
2026-06-08,496394.8376114188,81.38684931502212,6,491703.5686559867
