Pair,OOS_PnL,Sharpe,MaxDD,MaxDD_pct,WinRate,N_Trades,Turnover,N_Days
ALB/YUM,8911.53522039302,0.9838712447284385,-9734.059999999994,-0.019468119999999988,0.6875,9,11359.0,144
AMT/TJX,4618.48958613843,1.442574801790352,-2435.211213028174,-0.0048704224260563474,0.6,21,22881.0,144
CL/WST,2906.688564151287,0.39683387418987653,-12527.112199059957,-0.025054224398119912,0.53125,19,28800.0,144
OKE/XYL,2588.3821435841214,1.5969237125364775,-833.3800000000019,-0.0016667600000000039,0.7,6,6598.0,144
CI/LVS,542.8049608227388,0.10801668063419147,-6223.1999999999925,-0.012446399999999986,0.42857142857142855,10,19333.0,120
OKE/WST,-1103.838963420509,-0.6519042745097433,-2546.9600000000028,-0.005093920000000005,0.5,10,10405.0,144
HAS/PFE,-1377.2000000000003,-0.29736722392963005,-3790.779999999996,-0.007581559999999992,0.4782608695652174,12,50237.0,144
MSCI/MTB,-1473.3334165677547,-0.372304626469241,-4236.748320631162,-0.008473496641262323,0.47368421052631576,9,6748.0,144
GIS/MTD,-3720.8796396599528,-0.7893255118590811,-11004.334022312381,-0.022008668044624764,0.40625,15,37361.0,144
PFG/WMT,-3970.0799999999986,-2.4358580701872983,-5631.989999999996,-0.011263979999999993,0.4444444444444444,7,13056.0,48
LNT/MKTX,-4928.533847358801,-1.1422606407323208,-6786.200000000015,-0.013572400000000031,0.48936170212765956,21,43071.0,144
F/PG,-5728.404722036443,-2.0963261109570555,-5728.404722036443,-0.011456809444072886,0.4166666666666667,10,57464.0,144
CPB/CRL,-9716.641732205639,-1.334377629171336,-12486.339229199075,-0.02497267845839815,0.4489795918367347,24,97939.0,144
PFG/YUM,-9890.17366402438,-2.593630854202838,-10553.81366402439,-0.02110762732804878,0.35555555555555557,20,32799.0,144
IQV/PG,-25627.4232946533,-2.9330585799151967,-27977.698869356485,-0.05595539773871297,0.35294117647058826,18,20176.0,144
